university,Average_test_score
California_Institute_of_Technology,1544
Massachusetts_Institute_of_Technology,1507
Franklin_W._Olin_College_of_Engineering,1506
University_of_Chicago,1506
Yale_University,1498
Vanderbilt_University,1498
Harvard_University,1497
Princeton_University,1490
Harvey_Mudd_College,1484
Rice_University,1482
Stanford_University,1479
Columbia_University,1473
Washington_University_in_St._Louis,1469
Northwestern_University,1460
University_of_Pennsylvania,1457
Brown_University,1457
University_of_Notre_Dame,1455
Johns_Hopkins_University,1453
Amherst_College,1451
Duke_University,1450
Carnegie_Mellon_University,1448
Williams_College,1442
Webb_Institute,1442
Dartmouth_College,1437
Pomona_College,1435
