Life_insurance_company,Total_assets_in_billion_U.S._dollars
Prudential_Financial,638.03
MetLife_Inc.,427.56
New_York_Life,354.13
TIAA-CREF,328.73
American_International_Group,318.53
Northwestern_Mutual,290.6
Lincoln_Financial,288.51
Massachusetts_Mutual,282.01
Manulife_Financial,277.04
Jackson_National,274.89
Equitable_Holdings_Inc.,222.16
Transamerica_Corporation,214.61
Principal_Financial,210.9
Nationwide,197.43
Brighthouse_Holdings_Group,195.22
Allianz,162.33
Pacific_Life,153.45
Voya_Financial,150.55
Talcott_Resolution_Group,123.07
Ameriprise_Financial,113.82
Thrivent_Financial,102.22
Athene_Group,99.56
Sammons_Financial,89.9
Protective_Life,88.6
State_Farm,81.84
