State,Total_area_in_square_miles
Alaska,664988
Texas,268597
California,163694
Montana,147039
New_Mexico,121590
Arizona,113990
Nevada,110572
Colorado,104094
Oregon,98379
Wyoming,97812
Michigan,96713
Minnesota,86935
Utah,84897
Idaho,83568
Kansas,82278
Nebraska,77349
South_Dakota,77116
Washington,71298
North_Dakota,70698
Oklahoma,69899
Missouri,69702
Florida,65758
Wisconsin,65496
Georgia,59425
Illinois,57916
Iowa,56273
New_York,54555
North_Carolina,53819
Arkansas,53178
Alabama,52420
Louisiana,51988
Mississippi,48432
Pennsylvania,46055
Ohio,44825
Virginia,42775
Tennessee,42144
Kentucky,40411
Indiana,36417
Maine,35384
South_Carolina,32021
West_Virginia,24230
Maryland,12406
Hawaii,10926
Massachusetts,10554
Vermont,9616
New_Hampshire,9348
New_Jersey,8723
Connecticut,5544
Puerto_Rico,5325
Delaware,2489
No._Mariana_Islands,1975
Rhode_Island,1545
U.S._Virgin_Islands,738
American_Samoa,583
Guam,571
District_of_Columbia,68
U.S._minor_outlying_islands,16
