player_name,Payroll_in_thousand_U.S._dollars
Marco_Fabian,2274.09
Alejandro_Bedoya,1266.25
Jamiro__Monteiro,671.2
Sergio__Santos,668.5
Andrew__Wooten,595.83
Haris__Medunjanin,595.01
Andre__Blake,550.0
Kai__Wagner,360.15
Ilsinho,357.0
Kacper__Przybylko,277.0
Jack__Elliott,265.0
Raymon__Gaddis,190.0
Warren__Creavalle,175.3
Aurelien__Collin,175.0
Fafa__Picault,173.67
Joe__Bendik,144.0
Auston__Trusty,124.1
Jack__De_Vries,120.56
Fabinho__Alves,120.0
Brenden__Aaronson,98.31
Mark__McKenzie,82.23
Derrick__Jones,80.9
Cory__Burke,79.72
Anthony__Fontana,78.68
Matt__Freese,77.65
Olivier__Mbaizo,70.88
RJ__Allen,70.25
Matthew__Real,57.23
Michee__Ngalina,56.25
