football_team,Value_in_million_U.S._dollars
Texas_Longhorns_(Big_12),152
Notre_Dame_Fighting_Irish_(Independent),127
Tennessee_Volunteers_(SEC),121
LSU_Tigers_(SEC),111
Michigan_Wolverines_(Big_Ten),105
Georgia_Bulldogs_(SEC),102
Ohio_State_Buckeyes_(Big_Ten),100
Alabama_Crimson_Tide_(SEC),99
Oklahoma_Sooners_(Big_12),96
Auburn_Tigers_(SEC),89
Penn_State_Nittany_Lions_(Big_Ten),81
Arkansas_Razorbacks_(SEC),80
Washington_Huskies_(Pac-12),78
Oregon_Ducks_(Pac-12),75
Florida_Gators_(SEC),72
Texas_A&M_Aggies_(SEC),71
Florida_State_Seminoles,70
South_Carolina_Gamecoks_(SEC),69
Michigan_State_Spartans_(Big_Ten),67
USC_Trojans_(Pac-12),66
