film,Number_of_YouTube_views_in_millions
Fifty_Shades_Of_Grey_-_Official_Trailer_(Universal_Pictures)_HD,67
"Marvel's_""Avengers:_Age_of_Ultron""_-_Teaser_Trailer_(OFFICIAL)",64
Star_Wars:_Episode_VII_-_The_Force_Awakens_Official_Teaser_Trailer_#1_(2015)_-_J.J._Abrams_Movie_HD,52
Jurassic_World_-_Official_Trailer_(HD),44
TEENAGE_MUTANT_NINJA_TURTLES_-_Official_Trailer_(2014)_[HD],43
Furious_7_-_Official_Trailer_(HD),37
Godzilla_-_Official_Main_Trailer_[HD],36
Lucy_TRAILER_1_(2014)_-_Luc_Besson_Scarlett_Johansson_Movie_HD,36
The_Fault_In_Our_Stars__Official_Trailer_[HD]__20th_Century_FOX,29
Official_Call_of_Duty:_Advanced_Warfare_Reveal_Trailer,26
