State,Number_of_forcible_rapes
Texas,14824
California,14799
Florida,8456
Michigan,7235
New_York,6583
Illinois,6078
Ohio,5731
Pennsylvania,4351
Colorado,3872
Arizona,3662
Washington,3332
North_Carolina,3247
Georgia,2922
Missouri,2917
Virginia,2816
Tennessee,2813
Indiana,2475
South_Carolina,2460
Minnesota,2448
Arkansas,2331
Louisiana,2273
Oklahoma,2268
Wisconsin,2261
Massachusetts,2204
Nevada,2161
Alabama,2068
Maryland,1913
Utah,1822
Oregon,1778
Kentucky,1572
New_Jersey,1531
Kansas,1416
New_Mexico,1288
Nebraska,1253
Iowa,1164
Alaska,1088
Idaho,809
Connecticut,771
Hawaii,765
West_Virginia,754
Mississippi,747
South_Dakota,642
Montana,624
New_Hampshire,590
Maine,516
Rhode_Island,491
North_Dakota,437
District_of_Columbia,345
Wyoming,324
Delaware,310
Vermont,278
