municipality_of_Italy,Percentage_change_in_number_of_deaths
Ostana__(Cuneo),900
Cassiglio__(Bergamo),900
Derovere__(Cremona),900
Bionaz__(Aosta_Valley),500
Nasino__(Savona),483.3
Torlino_Vimercati__(Cremona),483.3
Baldissero_d'Alba__(Cuneo),471.4
Isolabella__(Turin),400
Roascio__(Cuneo),400
Valsavarenche__(Aosta_Valley),400
Armo__(Imperia),400
Masciago_Primo__(Varese),400
Tenna__(Trento),400
Polino__(Terni),400
Carapelle_Calvisio__(L'Aquila),400
Torre_Beretti_e_Castellaro__(Pavia),350
Valeggio__(Pavia),316.7
Montello__(Bergamo),304.8
Moransengo__(Asti),300
Olmeneta__(Cremona),300
Berzo_San_Fermo__(Bergamo),294.7
