trade_association,Spending_in_million_U.S._dollars
U.S._Chamber_of_Commerce,77.25
Open_Society_Policy_Center,48.47
National_Association_of_Realtors,41.24
Pharmaceutical_Research_&_Manufacturers_of_America,29.29
American_Hospital_Association,26.22
Blue_Cross/Blue_Shield,25.15
American_Medical_Association,20.91
Business_Roundtable,19.99
Amazon.com,16.79
Facebook_Inc,16.71
National_Association_of_Manufacturers,14.61
NCTA_The_Internet_&_Television_Association,14.22
Boeing_Co,13.81
Northrop_Grumman,13.62
Comcast_Corp.,13.36
Lockheed_Martin,13.03
AT&T_Inc,12.82
United_Technologies,12.75
National_Association_of_Broadcasters,12.72
Alphabet_Inc,12.66
