higher_education_institution,Complete_University_Guide_score
University_of_Cambridge,100
University_of_Oxford,99
University_of_St_Andrews,96
London_School_of_Economics,94
Imperial_College_London,91
Loughborough_University,90
Durham_University,90
Lancaster_University,89
University_of_Bath,87
University_College_London,86
University_of_Warwick,85
University_of_Exeter,83
University_of_Birmingham,81
University_of_Bristol,81
University_of_Edinburgh,81
University_of_Leeds,80
University_of_Manchester,80
University_of_Southampton,80
University_of_Glasgow,79
King's_College_London,77
