profession,Number_of_self-employed_people
Doctors,116330
Dentists,50022
Psychotherapists_(1),33937
Physiotherapists_(2),45125
Vets,12019
Pharmacists,15067
Other_freelance_healing_professionals_(3),153048
Lawyers,124252
Patent_lawyers,3948
Notaries_only,1714
Tax_consultant_tax_representative,60737
Auditor_sworn_auditor,8533
Business_consultants_(3),49600
Other_legal_business_and_tax_advisory_freelance_professions_(3)_(4),153592
Architects,56120
Advising_engineer_(5),16124
Other_freelance_engineers_(3),78520
Appraisers_(3),24726
Other_technical_and_natural_science_freelance_professions_(3),114021
Freelance_cultural_occupations_(6),335034
