app_name,Penetration_rate_among_iOS_users
eBay:_Buy_Sell_Save!_Electronics_Fashion_&_More,23.67
Amazon_App:_shop_scan_compare_and_read_reviews,12.38
Groupon_-_Deals_Coupons_&_Discount_Shopping_App,11.97
Apple_Store,10.07
Etsy:_Shop_Handmade_Vintage_&_Creative_Goods,3.67
Wish_-_Shopping_Made_Fun,2.45
H&M,1.77
Polyvore_-_Fashion_Trends_Style_&_Shopping,0.95
RedLaser_Barcode_Scanner_Shopping_Assistant_&_QR_Code_Read,0.95
Geek_-_Smarter_Shopping,0.82
LivingSocial_-_Deals_Cashback_&_More,0.82
AliExpress_Shopping_App,0.54
Fancy,0.41
ShopStyle_-_Find_Exactly_What_Youre_Shopping_For,0.41
QVC_for_iPhone,0.27
Shop_Savvy_Barcode_Scanner_-_Price_Compare_&_Deals,0.27
The_Hunt_-_Style_&_Shopping,0.27
AEO__Aerie,0.14
artCircles,0.14
Fab_-_#1_Shopping_App_for_Accents_&_Decor,0.14
