ice_hockey_team,Fan_Cost_Index_in_U.S._dollars
Toronto_Maple_Leafs,572.58
Boston_Bruins,509.8
New_York_Rangers,479.48
Chicago_Blackhawks,463.2
Vancouver_Canucks,456.35
Winnipeg_Jets,413.04
Washington_Capitals,411.94
Montreal_Canadians,410.04
Edmonton_Oilers,393.75
Pittsburgh_Pinguins,390.84
Philadelphia_Flyers,386.11
Los_Angeles_Kings,384.99
Minnesota_Wild,383.25
NHL_Average,363.58
Calgary_Flames,352.12
San_Jose_Sharks,344.42
Nashville_Predators,343.14
Carolina_Hurricanes,341.17
St._Louis_Blues,327.32
New_Jersey_Devils,313.85
Detroit_Red_Wings,307.54
New_York_Islanders,299.59
Ottawa_Senators,296.19
Colorado_Avalanche,295.64
Buffalo_Sabres,290.9
Anaheim_Ducks,288.88
Columbus_Blue_Jackets,288.62
Tampa_Bay_Lightning,281.02
Dallas_Stars,263.11
Florida_Panthers,255.55
