university,Endowment_fund_value_in_billion_U.S._dollars
Harvard_University_MA,39.43
The_University_of_Texas_System_TX,30.96
Yale_University_CT,30.31
Stanford_University_CA,27.7
Princeton_University_NJ,26.12
Massachusetts_Institute_of_Technology_MA,17.57
University_of_Pennsylvania_PA,14.65
The_Texas_A&M_University_System_TX,13.51
University_of_Michigan_MI,12.45
University_of_California_CA,11.8
University_of_Notre_Dame_IN,11.27
Northwestern_University_IL,11.09
Columbia_University_NY,10.95
Duke_University_NC,8.61
The_University_of_Chicago_IL,8.26
Washington_University_in_St._Louis_MO,7.95
Emory_University_GA,7.87
Cornell_University_NY,7.33
University_of_Virginia_VA,7.06
Rice_University_TX,6.48
