Quarter,Profit_in_million_U.S._dollars
Q1_'17,99.0
Q4_'16,162.0
Q3_'16,163.0
Q2_'16,-440.0
Q1_'16,-98.29
Q4_'15,-4435.0
Q3_'15,76.26
Q2_'15,-21.55
Q1_'15,21.2
Q4_'14,166.0
Q3_'14,6774.1
Q2_'14,269.71
Q1_'14,311.58
Q4_'13,348.19
Q3_'13,296.66
Q2_'13,331.15
Q1_'13,390.29
Q4_'12,272.27
Q3_'12,3160.24
Q2_'12,226.63
Q1_'12,286.34
Q4_'11,295.57
Q3_'11,293.29
Q2_'11,236.97
Q1_'11,222.99
Q4_'10,312.02
Q3_'10,396.13
Q2_'10,213.32
Q1_'10,310.19
Q4_'09,152.95
Q3_'09,186.09
Q2_'09,141.39
Q1_'09,117.56
Q4_'08,-303.43
Q3_'08,54.35
Q2_'08,131.22
Q1_'08,536.84
Q4_'07,205.72
Q3_'07,151.29
Q2_'07,160.57
Q1_'07,142.42
Q4_'06,268.67
Q3_'06,158.53
Q2_'06,164.33
Q1_'06,159.86
Q4_'05,683.21
Q3_'05,253.77
Q2_'05,754.69
Q1_'05,204.56
