Response,Share_of_college_graduates
Boulder_CO,64.8
Corvallis_OR,57.9
Ithaca_NY,56.9
Ann_Arbor_MI,55.9
San_Jose-Sunnyvale-Santa_Clara_CA,52.7
San_Francisco-Oakland-Berkeley_CA,51.4
Washington-Arlington-Alexandria_DC-VA-MD-WV,51.4
Boston-Cambridge-Newton_MA-NH,49.3
Charlottesville_VA,49.2
Bridgeport-Stamford-Norwalk_CT,49.1
Fort_Collins_CO,49
Iowa_City_IA,48.8
Madison_WI,48.6
Raleigh-Cary_NC,48
Barnstable_Town_MA,47.1
Lawrence_KS,47.1
Durham-Chapel_Hill_NC,46.3
Austin-Round_Rock-Georgetown_TX,46.2
Bloomington_IL,45.8
Denver-Aurora-Lakewood_CO,45.8
Ames_IA,44.6
Burlington-South_Burlington_VT,44.6
Champaign-Urbana_IL,44.5
Trenton-Princeton_NJ,44.5
Missoula_MT,44.4
Seattle-Tacoma-Bellevue_WA,44.1
Columbia_MO,44
Santa_Cruz-Watsonville_CA,43.8
State_College_PA,43.8
Minneapolis-St._Paul-Bloomington_MN-WI,43.2
Athens-Clarke_County_GA,42.4
Portland-South_Portland_ME,42.3
Baltimore-Columbia-Towson_MD,41.9
New_York-Newark-Jersey_City_NY-NJ-PA,41.8
Auburn-Opelika_AL,41.4
Rochester_MN,41.2
Bloomington_IN,41
Provo-Orem_UT,40.6
Fargo_ND-MN,40.4
Portland-Vancouver-Hillsboro_OR-WA,40.3
Huntsville_AL,40.2
Santa_Fe_NM,40.1
Atlanta-Sandy_Springs-Alpharetta_GA,39.9
San_Diego-Chula_Vista-Carlsbad_CA,39.9
Hartford-East_Hartford-Middletown_CT,39.7
Lincoln_NE,39.7
Flagstaff_AZ,39.6
Albany-Schenectady-Troy_NY,39.5
Wilmington_NC,39.3
Chicago-Naperville-Elgin_IL-IN-WI,39.2
