Response,Share_of_respondents
Send_a_message_on_Facebook_Messenger,51
Browse_your_feed_for_posts_from_your_Facebook_friends_or_accounts_you_follow,45
Post_a_photo_written_status_update_or_video_to_your_feed,37
Watch_a_video_in_your_feed,37
Visit/use_a_Facebook_group_you_are_part_of,34
Watch_other_people's_Facebook_Stories,34
Click_or_tap_on_an_ad_on_Facebook,24
Watch_a_video_on_Facebook_Watch,23
Shop_or_buy_things_from_Facebook_Marketplace,16
Post_to_my_Facebook_Story,15
Swipe_up_on_a_Facebook_Story,14
Make_a_purchase_after_clicking_or_tapping_on_a_Facebook_ad,13
None_of_these,17
