industry,GDP_in_million_chained_2012_Canadian_dollars
Real_estate_and_rental_and_leasing,4008.2
Public_administration,3421.3
Health_care_and_social_assistance,2981.6
Manufacturing,2925.2
Retail_trade,1998.8
Construction,1942.2
Educational_services,1893.8
Finance_and_insurance,1660.1
Transportation_and_warehousing,1582.3
Utilities,1340.5
Administrative_and_support_waste_management_and_remediation_services,1132.5
Agriculture_forestry_fishing_and_hunting,1052.2
Professional_scientific_and_technical_services,1029.7
Wholesale_trade,1025.9
Information_and_cultural_industries,874.1
Accommodation_and_food_services,681.6
Other_services_(except_public_administration),577.9
Mining_quarrying_and_oil_and_gas_extraction,315.7
Arts_entertainment_and_recreation,158.9
Management_of_companies_and_enterprises,89.9
