Response,Share_of_payments_in_income
Q2_'20,8.69
Q1_'20,9.63
Q4_'19,9.73
Q3_'19,9.69
Q2_'19,9.71
Q1_'19,9.71
Q4_'18,9.75
Q3_'18,9.7
Q2_'18,9.71
Q1_'18,9.74
Q4_'17,9.88
Q3_'17,9.94
Q2_'17,9.96
Q1_'17,9.96
Q4_'16,10.04
Q3_'16,10.06
Q2_'16,10
Q1_'16,9.9
Q4_'15,9.93
Q3_'15,9.95
Q2_'15,9.91
Q1_'15,9.92
Q4_'14,9.86
Q3_'14,9.87
Q2_'14,9.91
Q1_'14,9.98
Q4_'13,10.08
Q3_'13,10.07
Q2_'13,10.11
Q1_'13,10.19
Q4_'12,9.83
Q3_'12,10.14
Q2_'12,10.08
Q1_'12,10.2
Q4_'11,10.45
Q3_'11,10.58
Q2_'11,10.69
Q1_'11,10.77
