Month,Price_in_British_pounds_per_kilogram
Nov_'19,0.5
Oct_'19,0.55
Sep_'19,0.61
Aug_'19,0.64
Jul_'19,0.84
Jun_'19,0.96
May_'19,0.74
Apr_'19,0.64
Mar_'19,0.48
Feb_'19,0.44
Jan_'19,0.44
Dec_'18,0.43
Nov_'18,0.47
Oct_'18,0.46
Sep_'18,0.51
Aug_'18,0.52
Jul_'18,0.37
Jun_'18,0.32
May_'18,0.33
Apr_'18,0.33
Mar_'18,0.33
Feb_'18,0.32
Jan_'18,0.33
Dec_'17,0.34
Nov_'17,0.35
Oct_'17,0.29
Sep_'17,0.3
Aug_'17,0.31
Jul_'17,0.32
Jun_'17,0.36
May_'17,0.37
Apr_'17,0.35
Mar_'17,0.35
Feb_'17,0.32
Jan_'17,0.32
Dec_'16,0.3
Nov_'16,0.32
Oct_'16,0.32
Sep_'16,0.33
Aug_'16,0.32
Jul_'16,0.33
Jun_'16,0.32
May_'16,0.35
Apr_'16,0.34
Mar_'16,0.32
Feb_'16,0.3
Jan_'16,0.31
Dec_'15,0.31
Nov_'15,0.32
Oct_'15,0.34
Sep_'15,0.41
Aug_'15,0.48
Jul_'15,0.56
Jun_'15,0.49
May_'15,0.36
Apr_'15,0.29
Mar_'15,0.28
Feb_'15,0.26
Jan_'15,0.26
