football_league_and_country,Brand_value_in_million_dollars
Barclays_Premier_League(England),4170
Fußball-Bundesliga(Germany),3038
BBVA-Liga(Spain),1531
Serie_A(Italy),1122
Ligue_1_Orange(France),849
Spor_Toto_Süper_Lig(Turkey),431
Eredivisie(Netherlands),422
SOGAZ_Russian_Football_Championship(Russia),376
Ukrainian_Premier_League(Ukraine),291
Axpo_Super_League(Switzerland),201
The_Danish_Superliga(Denmark),155
Jupiler_Pro_League(Belgium),150
Tippeligaen(Norway),108
Liga_ZON_Sagres(Portugal),108
Liga__Bergenbier(Romania),102
Clydesdale_Bank_Premier_League(Scotland),96
Jalen_SuperLiga(Serbia),77
Österreichische_Fußball-Bundesliga(Austria),70
T-Mobile_Ekstraklasa(Poland),54
Allsvenskan(Sweden),50
