Month,Cumulative_number_of_cases
Dec_20,625930
Dec_19,623760
Dec_18,621039
Dec_17,618204
Dec_16,615058
Dec_15,611422
Dec_14,609211
Dec_13,608137
Dec_12,605966
Dec_11,603159
Dec_10,600397
Dec_9,597643
Dec_8,594572
Dec_7,592615
Dec_6,591756
Dec_5,589842
Dec_4,587439
Dec_3,584857
Dec_2,582252
Dec_1,579212
Nov_30,577345
Nov_29,576599
Nov_28,574448
Nov_27,570829
Nov_26,567532
Nov_25,564532
Nov_24,561803
Nov_23,559902
Nov_22,558779
Nov_21,556904
Nov_20,553680
Nov_19,550264
Nov_18,545926
Nov_17,545691
Nov_16,545686
Nov_15,535939
Nov_14,535841
Nov_13,534694
Nov_12,529471
Nov_11,523227
Nov_10,521285
Nov_9,513730
Nov_8,505201
Nov_7,503754
Nov_6,500470
Nov_5,493319
Nov_4,485908
Nov_3,476851
Nov_2,464958
Nov_1,451227
Oct_31,448565
Oct_30,441588
Oct_29,426427
Oct_28,411541
Oct_27,393719
Oct_26,371558
Oct_25,351725
Oct_24,346832
Oct_23,335279
Oct_22,316408
Oct_21,298729
Oct_20,279196
Oct_19,260622
Oct_18,245590
Oct_17,241314
Oct_16,233580
Oct_15,220460
Oct_14,208794
Oct_13,196555
Oct_12,184002
Oct_11,174284
Oct_10,171876
Oct_9,167570
Oct_8,159787
Oct_7,153202
Oct_6,146405
Oct_5,140718
Oct_4,135466
Oct_3,134431
Oct_2,132722
Oct_1,129001
Sep_30,125594
Sep_29,122353
Sep_28,119369
Sep_27,116588
Sep_26,116049
Sep_25,115105
Sep_24,113483
Sep_23,111688
Sep_22,109599
Sep_21,107528
Sep_20,105341
Sep_19,104882
Sep_18,103987
Sep_17,102257
Sep_16,100507
Sep_15,98566
Sep_14,97455
Sep_13,96937
Sep_12,95214
Sep_11,94912
Sep_10,94295
Sep_9,93011
Sep_8,91868
Sep_7,90844
Sep_6,89013
Sep_5,88858
Sep_4,88537
Sep_3,87824
Sep_2,87166
Sep_1,86594
Aug_31,86025
Aug_30,85392
Aug_29,85275
Aug_28,85083
Aug_27,84470
Aug_26,83935
Aug_25,83411
Aug_24,82884
Aug_23,82367
Aug_22,82252
Aug_21,82058
Aug_20,81549
Aug_19,80970
Aug_18,80355
Aug_17,79628
Aug_16,78921
Aug_15,78787
Aug_14,78624
Aug_13,78037
Aug_12,77368
Aug_11,76757
Aug_10,76040
Aug_9,75167
Aug_8,75046
Aug_7,74743
Aug_6,73969
Aug_5,73201
Aug_4,72436
Aug_3,71624
Aug_2,70830
Aug_1,70682
Jul_31,70375
Jul_30,69691
Jul_29,69056
Jul_28,68353
Jul_27,67668
Jul_26,67073
Jul_25,66889
Jul_24,66660
Jul_23,66221
Jul_22,65668
Jul_21,65523
Jul_20,65080
Jul_19,65015
Jul_18,64898
Jul_17,64886
Jul_16,64612
Jul_15,64386
Jul_14,64124
Jul_13,63094
Jul_12,62871
Jul_11,62828
Jul_10,62690
Jul_9,62604
Jul_8,62497
Jul_7,62362
Jul_6,62264
Jul_5,62151
Jul_4,62127
Jul_3,62066
Jul_2,61972
Jul_1,61881
Jun_30,61757
Jun_29,61657
Jun_28,61530
Jun_27,61502
Jun_26,61462
Jun_25,61350
Jun_24,61275
Jun_23,61175
Jun_22,61066
Jun_21,60922
Jun_20,60778
Jun_19,60730
Jun_18,60615
Jun_17,60509
Jun_16,60387
Jun_15,60290
Jun_14,60142
Jun_13,60120
Jun_12,60073
Jun_11,59985
Jun_10,59891
Jun_9,59775
Jun_8,59631
Jun_7,59481
Jun_6,59428
Jun_5,59359
Jun_4,59204
Jun_3,59036
Jun_2,58876
Jun_1,58698
May_31,58640
May_30,58592
May_29,58532
May_28,58373
May_27,58214
May_26,58033
May_25,57835
May_24,57531
May_23,57456
May_22,57334
May_21,57088
May_20,57017
May_19,56636
May_18,56352
May_17,56045
May_16,55964
May_15,55818
May_14,55478
May_13,55184
May_12,54866
May_11,54471
May_10,54009
May_9,53891
May_8,53651
May_7,53172
May_6,52746
May_5,52195
May_4,51659
May_3,50990
May_2,50849
May_1,50565
Apr_30,50328
Apr_29,49741
Apr_28,49227
Apr_27,48659
Apr_26,47911
Apr_25,47706
Apr_24,47319
Apr_23,46516
Apr_22,45548
Apr_21,44773
Apr_20,43510
Apr_19,42238
Apr_18,41795
Apr_17,41078
Apr_16,39696
Apr_15,38032
Apr_14,36412
Apr_13,34850
Apr_12,34318
Apr_11,33801
Apr_10,32778
Apr_9,30459
Apr_8,28235
Apr_7,26648
Apr_6,25148
Apr_5,23226
Apr_4,22561
Apr_3,21636
Apr_2,19945
Apr_1,18485
Mar_31,16982
Mar_30,15301
Mar_29,13563
Mar_28,12880
Mar_27,12036
Mar_26,10517
Mar_25,9154
Mar_24,7955
Mar_23,6760
Mar_22,5431
Mar_21,4945
Mar_20,4475
Mar_19,3812
Mar_18,3099
Mar_17,2565
Mar_16,2143
Mar_15,1756
Mar_14,1542
Mar_13,1363
Mar_12,1025
Mar_11,775
Mar_10,601
Mar_9,502
Mar_8,408
Mar_7,344
Mar_6,317
Mar_5,206
Mar_4,125
Mar_3,70
Mar_2,34
Mar_1,17
Feb_2,1
