Household_composition,Percentage_of_respondents
One_adult_retired_mainly_dependent_on_state_pensions,28
One_adult_other_retired,30
One_adult_non-retired,30
One_adult_one_child,35
One_adult_two_or_more_children,35
Two_adults_retired_mainly_dependent_on_state_pensions,53
Two_adults_other_retired,55
Two_adults_non-retired,56
Two_adults_one_child,56
Two_adults_two_children,64
Two_adults_three_children,57
Two_adults_four_or_more_children,54
Three_adults,56
Three_adults_one_or_more_children,65
All_other_households_without_children,61
All_other_households_with_children,45
