library_district_of_the_United_States,Population_served
Los_Angeles_Public_Library_CA,3825297
New_York_Public_Library_The_Branch_Libraries_NY,3439711
County_of_Los_Angeles_Public_Library_CA,3344311
Chicago_Public_Library_IL,2695598
Brooklyn_Public_Library_NY,2504700
Queens_Borough_Public_Library_NY,2230722
Miami-Dade_Public_Library_System_FL,2196303
Houston_Public_Library_TX,2145146
Harris_County_Public_Library_TX,1795998
Broward_County_Libraries_Division_FL,1771099
San_Antonio_Public_Library_TX,1626092
Orange_County_Public_Libraries_CA,1534312
Free_Library_of_Philadelphia_PA,1526006
Phoenix_Public_Library_AZ,1464727
Las_Vegas-Clark_County_Library_District_NV,1463675
Hawaii_State_Public_Library_System_HI,1374810
King_County_Library_System_WA,1362870
Sacramento_Public_Library_CA,1362428
San_Diego_Public_Library_CA,1321315
Hillsborough_County_Public_Library_Cooperative_FL,1256118
Dallas_Public_Library_TX,1223229
San_Bernadino_County_Library_CA,1200798
Riverside_County_Library_System_CA,1171366
Hennepin_County_Library_MN,1163060
Orange_County_Library_District_FL,1132302
