chemical_compound,Week-on-week_price_change
Cough_and_cold_medication,10.7
Pet_food,3.1
Paracetamol,2.8
Rice,1.9
Nappies,1.6
Flour,1.4
All_High-demand_product_items,1.1
Antibacterial_hand_wipes,0.9
Tomato_puree,0.5
Spray_cleaning_products,0.4
Tinned_beans,0.4
Vitamin_C,0.4
Pasta_sauce,0.2
Handwash,0.1
Toilet_rolls,0.1
All_household_/_hygiene_items,0
Ibuprofen,0
Tissues,-0.3
All_food_items,-0.4
Long-life_milk,-0.9
Kitchen_rolls,-0.9
Tinned_soup,-1
Dried_pasta,-1.3
Baby_food,-2.6
Antibacterial_surface_wipes,-2.8
