Industry,Real_value_added_in_billion_chained_2012_Canadian_dollars
Government_sector,322.3
Manufacturing,201.12
Non-profit_institutions,187.9
Mining_and_oil_and_gas_extraction,147.76
Construction,141.13
Finance_and_insurance_and_holding_companies,137.53
Professional_scientific_and_technical_services,117.61
Wholesale_trade,102.15
Retail_trade,102.02
Transportation_and_warehousing,87.39
Real_estate_rental_and_leasing,87.36
Information_and_cultural_industries,61.48
Health_care_and_social_assistance,52.9
Administrative_and_support_waste_management_and_remediation_services,51.8
Accommodation_and_food_services,44.16
Utilities,40.72
Agriculture_forestry_fishing_and_hunting,40.28
Other_private_services,28.09
Arts_entertainment_and_recreation,12.5
Educational_services,3.78
