State,"Robbery_rate_per_100,000_inhabitants"
District_of_Columbia,384.4
Maryland,152.2
California,132.4
Alaska,112.9
New_Mexico,111.6
Nevada,106.7
Texas,100.0
Illinois,98.4
New_York,92.9
Tennessee,90.1
Arizona,88.1
Louisiana,86.6
United_States,81.6
Delaware,81.1
Missouri,80.8
Alabama,80.4
Hawaii,79.9
Indiana,79.2
Pennsylvania,76.1
Ohio,75.7
Florida,75.5
Georgia,75.0
North_Carolina,72.5
Washington,67.6
New_Jersey,64.5
South_Carolina,64.0
Colorado,63.6
Oklahoma,59.9
Mississippi,57.1
Minnesota,55.8
Connecticut,54.1
Oregon,54.0
Michigan,53.6
Massachusetts,52.4
Arkansas,51.6
Wisconsin,51.4
Kentucky,48.4
Kansas,44.4
Virginia,41.3
Nebraska,40.9
Rhode_Island,39.5
Utah,35.1
Iowa,27.4
North_Dakota,23.5
New_Hampshire,23.0
South_Dakota,22.0
West_Virginia,21.1
Montana,19.2
Maine,14.0
Wyoming,11.6
Vermont,11.4
Idaho,8.7
