basketball_team,Concession_stand_price_in_U.S._dollars
Phoenix_Suns_(32),6.25
Golden_State_Warriors_(20),6.0
Chicago_Bulls_(24),5.75
New_York_Knicks_(24),5.5
Los_Angeles_Lakers_(21),5.25
Boston_Celtics_(14),5.0
Los_Angeles_Clippers_(16),5.0
Portland_Trail_Blazers_(16),5.0
Brooklyn_Nets_(16),5.0
Minnessota_Timberwolves_(24),5.0
Miami_Heat_(24),5.0
Sacramento_Kings_(16),4.75
Milwaukee_Bucks_(20),4.75
Denver_Nuggets_(16),4.5
Detroit_Pistons_(20),4.5
Atlanta_Hawks_(20),4.5
Charlotte_Bobcats_(22),4.5
Indiana_Pacers_(24),4.5
NBA_league_average_(19),4.49
Toronto_Raptors_(14),4.36
Orlando_Magic_(16),4.25
Houston_Rockets_(22),4.25
New_Orleans_Pelicans_(12),4.0
Washington_Wizards_(16),4.0
Philadelphia_76ers_(16),4.0
Memphis_Grizzlies_(20),4.0
Utah_Jazz_(22),3.5
Cleveland_Cavaliers_(16),3.0
Dallas_Mavericks_(16),3.0
Oklahoma_City_Thunder_(16),3.0
San_Antonio_Spurs_(16),2.5
