Month,Number_of_new_cases
Nov_24_2020,9
Nov_23_2020,16
Nov_22_2020,3
Nov_21_2020,16
Nov_20_2020,18
Nov_19_2020,21
Nov_18_2020,5
Nov_17_2020,15
Nov_16_2020,9
Nov_15_2020,18
Nov_14_2020,19
Nov_13_2020,18
Nov_12_2020,10
Nov_11_2020,21
Nov_10_2020,29
Nov_9_2020,12
Nov_8_2020,23
Nov_7_2020,21
Nov_6_2020,26
Nov_5_2020,25
Nov_4_2020,25
Nov_3_2020,37
Nov_2_2020,28
Nov_1_2020,32
Oct_31_2020,30
Oct_30_2020,60
Oct_29_2020,80
Oct_28_2020,42
Oct_27_2020,107
Oct_26_2020,68
Oct_25_2020,64
Oct_24_2020,60
Oct_23_2020,77
Oct_22_2020,36
Oct_21_2020,49
Oct_20_2020,45
Oct_19_2020,70
Oct_18_2020,62
Oct_17_2020,56
Oct_16_2020,72
Oct_15_2020,67
Oct_14_2020,98
Oct_13_2020,90
Oct_12_2020,85
Oct_11_2020,53
Oct_10_2020,59
Oct_9_2020,96
Oct_8_2020,105
Oct_7_2020,101
Oct_6_2020,87
Oct_5_2020,100
Oct_4_2020,64
Oct_3_2020,49
Oct_2_2020,62
Oct_1_2020,41
Sep_30_2020,40
Sep_29_2020,33
Sep_28_2020,32
Sep_27_2020,42
Sep_26_2020,22
Sep_25_2020,40
Sep_24_2020,46
Sep_23_2020,36
Sep_22_2020,58
Sep_21_2020,37
Sep_20_2020,32
Sep_19_2020,39
Sep_18_2020,75
Sep_17_2020,21
Sep_16_2020,22
Sep_15_2020,13
Sep_14_2020,7
Sep_13_2020,3
Sep_12_2020,2
Sep_11_2020,1
Sep_10_2020,1
Sep_9_2020,5
Sep_8_2020,5
Sep_7_2020,7
Sep_6_2020,2
Sep_5_2020,3
Sep_4_2020,1
Sep_3_2020,6
Sep_2_2020,4
Sep_1_2020,10
Aug_31_2020,5
Aug_30_2020,1
Aug_29_2020,5
Aug_28_2020,8
Aug_27_2020,3
Aug_26_2020,7
Aug_25_2020,7
Aug_24_2020,3
Aug_23_2020,7
Aug_22_2020,5
Aug_21_2020,11
Aug_20_2020,11
Aug_19_2020,3
Aug_18_2020,5
Aug_17_2020,5
Aug_16_2020,9
Aug_15_2020,10
Aug_14_2020,7
Aug_13_2020,8
Aug_12_2020,10
Aug_11_2020,4
Aug_10_2020,5
Aug_9_2020,4
Aug_8_2020,4
Aug_7_2020,5
Aug_6_2020,18
Aug_5_2020,4
Aug_4_2020,9
Aug_3_2020,3
Aug_2_2020,8
Aug_1_2020,13
Jul_31_2020,8
Jul_30_2020,11
Jul_29_2020,12
Jul_28_2020,4
Jul_27_2020,4
Jul_26_2020,6
Jul_25_2020,4
Jul_24_2020,1
Jul_23_2020,2
Jul_22_2020,1
Jul_21_2020,0
Jul_20_2020,1
Jul_19_2020,1
Jul_18_2020,2
Jul_17_2020,0
Jul_16_2020,1
Jul_15_2020,0
Jul_14_2020,2
Jul_13_2020,0
Jul_12_2020,0
Jul_11_2020,0
Jul_10_2020,0
Jul_09_2020,0
Jul_08_2020,0
Jul_07_2020,1
Jul_06_2020,2
Jul_05_2020,0
Jul_04_2020,0
Jul_03_2020,0
Jul_02_2020,5
Jul_01_2020,1
Jun_30_2020,2
Jun_29_2020,1
Jun_28_2020,1
Jun_27_2020,0
Jun_26_2020,2
Jun_25_2020,1
Jun_24_2020,2
Jun_23_2020,0
Jun_22_2020,0
Jun_21_2020,0
Jun_20_2020,0
Jun_19_2020,1
Jun_18_2020,2
Jun_17_2020,0
Jun_16_2020,1
Jun_15_2020,1
Jun_14_2020,0
Jun_13_2020,2
Jun_12_2020,1
Jun_11_2020,0
Jun_10_2020,0
Jun_09_2020,0
Jun_08_2020,0
Jun_07_2020,0
Jun_06_2020,0
Jun_05_2020,1
Jun_04_2020,0
Jun_03_2020,0
Jun_02_2020,0
Jun_01_2020,0
May_31_2020,0
May_30_2020,0
May_29_2020,1
May_28_2020,0
May_27_2020,0
May_26_2020,1
May_25_2020,0
May_24_2020,0
May_23_2020,0
May_22_2020,1
May_21_2020,0
May_20_2020,0
May_19_2020,1
May_18_2020,0
May_17_2020,0
May_16_2020,0
May_15_2020,0
May_14_2020,0
May_13_2020,0
May_12_2020,1
May_11_2020,0
May_10_2020,0
May_09_2020,0
May_08_2020,0
May_07_2020,0
May_06_2020,2
May_05_2020,0
May_04_2020,0
May_03_2020,0
May_02_2020,1
May_01_2020,0
Apr_30_2020,1
Apr_29_2020,0
Apr_28_2020,2
Apr_27_2020,3
Apr_26_2020,0
Apr_25_2020,2
Apr_24_2020,1
Apr_23_2020,0
Apr_22_2020,4
Apr_21_2020,7
Apr_20_2020,5
Apr_19_2020,2
Apr_18_2020,11
Apr_17_2020,6
Apr_16_2020,15
Apr_15_2020,12
Apr_14_2020,7
Apr_13_2020,9
Apr_12_2020,10
Apr_11_2020,12
Apr_10_2020,14
Apr_09_2020,27
Apr_08_2020,32
Apr_07_2020,30
Apr_06_2020,24
Apr_05_2020,74
Apr_04_2020,70
Apr_03_2020,54
Apr_02_2020,45
Apr_01_2020,99
Mar_31_2020,83
Mar_30_2020,51
Mar_29_2020,66
Mar_28_2020,56
Mar_27_2020,70
Mar_26_2020,87
Mar_25_2020,42
Mar_24_2020,106
Mar_23_2020,67
Mar_22_2020,22
Mar_21_2020,92
Mar_20_2020,60
Mar_19_2020,76
Mar_18_2020,78
Mar_17_2020,53
Mar_16_2020,22
Mar_15_2020,20
Mar_14_2020,24
Mar_13_2020,20
Mar_12_2020,16
Mar_11_2020,24
Mar_10_2020,14
Mar_09_2020,9
Mar_08_2020,5
Mar_07_2020,7
Mar_06_2020,9
