State,Positive_tests,Total_tests
California,1551766,27195587
Texas,1472711,12173510
Florida,1107103,13845471
Illinois,848904,11776832
New_York,775160,21962295
Ohio,562727,6895762
Pennsylvania,491802,3537125
Georgia,476044,4729534
Wisconsin,468956,4857315
Michigan,465159,7341990
Tennessee,454305,4994602
North_Carolina,436595,6000910
Indiana,425434,4927385
Arizona,408442,4305888
New_Jersey,400650,6597406
Minnesota,378823,4734544
Missouri,345041,3333657
Alabama,295631,1696439
Massachusetts,290578,9567575
Colorado,288193,3773301
Virginia,281909,3702747
Louisiana,268613,3794201
South_Carolina,252206,2719621
Oklahoma,237668,2348147
Maryland,234647,5021377
Utah,233904,2024335
Kentucky,223104,2874157
Iowa,222148,1122583
Washington,199735,3320070
Nevada,186833,1829214
Arkansas,185702,1855704
Kansas,185294,890717
Mississippi,179447,1205747
Nebraska,147688,1548615
Connecticut,146761,3695091
Idaho,120632,504213
New_Mexico,119800,1732004
Oregon,93853,2242771
South_Dakota,91038,351856
North_Dakota,87871,1168660
Montana,73303,722308
Rhode_Island,70818,1717567
West_Virginia,63217,1322664
Puerto_Rico,62431,368403
Delaware,45460,835861
Alaska,39738,1143098
Wyoming,39360,440289
New_Hampshire,30956,912917
District_of_Columbia,24874,778265
Hawaii,19599,736069
Maine,15923,972713
Guam,7106,90136
Vermont,5753,617618
Virgin_Islands,1791,31253
Northern_Mariana_Islands,113,17319
American_Samoa,0,2140
