Year_and_candidate,Democrat,Republican,Democratic-Republican
2020:_Joe_Biden,20,0,0
2016:_Hillary_Clinton,20,0,0
2012:_Barack_Obama,20,0,0
2008:_Barack_Obama,21,0,0
2004:_John_Kerry,21,0,0
2000:_Al_Gore,22,0,0
1996:_Bill_Clinton,22,0,0
1992:_Bill_Clinton,22,0,0
1988:_George_H._W._Bush,0,24,0
1984:_Ronald_Reagan,0,24,0
1980:_Ronald_Reagan,0,26,0
1976:_Gerald_R._Ford,0,26,0
1972:_Richard_Nixon,0,26,0
1968:_Richard_Nixon,0,26,0
1964:_Lyndon_B._Johnson,26,0,0
1960:_John_F._Kennedy,27,0,0
1956:_Dwight_D._Eisenhower,0,27,0
1952:_Dwight_D._Eisenhower,0,27,0
1948:_Harry_S._Truman,28,0,0
1944:_Franklin_D._Roosevelt,28,0,0
1940:_Franklin_D._Roosevelt,29,0,0
1936:_Franklin_D._Roosevelt,29,0,0
1932:_Franklin_D._Roosevelt,29,0,0
1928:_Herbert_Hoover,0,29,0
1924:_Calvin_Coolidge,0,29,0
1920:_Warren_G._Harding,0,29,0
1916:_Charles_Evans_Hughes,0,29,0
1912:_Woodrow_Wilson,29,0,0
1908:_William_Howard_Taft,0,27,0
1904:_Theodore_Roosevelt,0,27,0
1900:_William_McKinley,0,24,0
1896:_William_McKinley,0,24,0
1892:_Grover_Cleveland,24,0,0
1888:_Benjamin_Harrison,0,22,0
1884:_James_G._Blaine,0,22,0
1880:_James_A._Garfield,0,21,0
1876:_Rutherford_B._Hayes,0,21,0
1872:_Ulysses_S._Grant,0,21,0
1868:_Ulysses_S._Grant,0,16,0
1864:_Abraham_Lincoln,0,16,0
1860:_Abraham_Lincoln,0,11,0
1856:_James_Buchanan,11,0,0
1852:_Franklin_Pierce,11,0,0
1848:_Lewis_Cass,9,0,0
1844:_James_K._Polk,9,0,0
1840:_Martin_Van_Buren,5,0,0
1836:_Martin_Van_Buren,5,0,0
1832:_Andrew_Jackson,5,0,0
1828:_Andrew_Jackson,3,0,0
1824:_Andrew_Jackson__(2)_John_Quincy_Adams_(1),0,0,3
1820:_James_Monroe,0,0,3
