Month,Amsterdam,The_Hague,Rotterdam,Utrecht
Dec_'16,4930,2400,2120,3120
Nov_'16,4770,2410,2100,3110
Oct_'16,4710,2380,2080,3060
Sep_'16,4480,2390,2070,3020
Aug_'16,4290,2350,1990,3010
Jul_'16,4380,2360,1990,3020
Jun_'16,4340,2340,1990,2990
May_'16,4230,2290,1970,2950
Apr_'16,4090,2270,1970,2920
Mar_'16,3960,2250,1960,2820
Feb_'16,3860,2250,1960,2810
Jan_'16,3720,2210,1960,2780
Dec_'15,3490,2200,1960,2760
Nov_'15,3450,2190,1960,2780
Oct_'15,3440,2200,1960,2780
Sep_'15,3400,2210,1950,2820
Aug_'15,3340,2200,1950,2820
Jul_'15,3360,2220,1950,2800
Jun_'15,3390,2200,1960,2800
May_'15,3320,2200,1970,2790
Apr_'15,3260,2180,1970,2780
Mar_'15,3210,2170,1970,2760
Feb_'15,3210,2170,1960,2740
Jan_'15,3240,2170,1970,2730
Dec_'14,3380,2190,1980,2740
