Response,Catholic,Protestant,Atheist/Agnostic
Finding_and_picking_up_a_penny_is_good_luck,40,35,16
It’s_bad_luck_for_the_groom_to_see_the_bridebefore_the_wedding,31,25,17
Seven_is_a_lucky_number,26,24,10
Knocking_on_wood_prevents_bad_luck,27,20,18
It’s_unlucky_to_walk_under_a_ladder,26,22,12
Opening_an_umbrella_indoors_is_bad_luck,18,15,12
Friday_the_13th_is_an_unlucky_day,18,15,7
Breaking_a_mirror_brings_seven_years_bad_luck,21,13,9
Throwing_spilled_salt_over_the_left_shoulderprevents_bad_luck,18,11,6
A_black_cat_crossing_your_path_is_bad_luck,17,14,4
13_is_an_unlucky_number,15,14,9
Stepping_on_a_crack_is_bad_luck,8,8,3
