year,10_rupee_notes,20_rupee_notes,50_rupee_bills,100_rupee_bills,200_rupee_bills,500_rupee_bills,1000_rupee_bills,2000_rupee_bills
FY_2019,313.0,174.0,430.0,2007.0,800,10759.0,0,6582
FY_2018,307.0,200.0,367.0,2222.0,371,7734.0,66,6726
FY_2017,369.29,203.15,355.64,2528.01,0,2940.98,89.25,6570.63
FY_2016,320.15,98.47,194.5,1577.83,0,7853.75,6325.68,0
FY_2015,303.04,86.99,174.36,1502.65,0,6563.91,5612.45,0
FY_2014,266.48,85.69,172.42,1476.46,0,5702.48,5081.37,0
FY_2013,251.68,76.5,173.05,1442.1,0,5359.5,4299,0
FY_2012,230.02,70.2,174.38,1411.88,0,5128.07,3468.81,0
FY_2011,212.88,60.4,159.8,1402.43,0,4453.11,3027.13,0
FY_2010,185.36,46.81,210.57,1383.64,0,3644.79,2382.52,0
FY_2009,122.22,43.99,244.4,1370.28,0,3083.04,1917.84,0
FY_2008,93.33,41.08,265.08,1345.75,0,2631.08,1412.19,0
FY_2007,71.55,41.78,279.51,1354.44,0,2254.0,936.76,0
FY_2006,62.74,40.77,278.42,1346.37,0,1823.32,643.46,0
FY_2005,67.7,38.76,299.41,1232.82,0,1527.28,420.82,0
FY_2004,77.5,43.83,330.27,1214.42,0,1229.38,274.73,0
