mass_murder,Fatalities,Injured
Las_Vegas_Strip_massacre_(Las_Vegas_NV_2017),58,546
Orlando_nightclub_massacre_(Orlando_Florida_2016),49,53
Virginia_Tech_massacre_(Blacksburg_Virginia_2007),32,23
Sandy_Hook_Elementary_massacre_(Newtown_Connecticut_2012),27,2
Texas_First_Baptist_Church_massacre_(Sutherland_Springs_TX_2017),26,20
Luby's_massacre_(Killeen_Texas_1991),24,20
San_Ysidro_McDonald's_massacre_(San_Ysidro_California_1984),22,19
El_Paso_Walmart_mass_shooting_(El_Paso_Texas_2019),20,26
Marjory_Stoneman_Douglas_High_School_shooting_(Parkland_Florida_2018),17,14
United_States_Postal_Service_shooting_(Edmond_Oklahoma_1986),15,6
Binghamton_shootings_(Binghamton_New_York_2009),14,4
San_Bernardino_mass_shooting_(San_Bernardino_California_2015),14,21
Fort_Hood_massacre_(Fort_Hood_Texas_2009),13,30
Columbine_High_School_massacre_(Littleton_Colorado_1999),13,24
Virginia_Beach_municipal_building_shooting_(Virginia_Beach_Virginia_2019),12,4
Aurora_theater_shooting_(Aurora_Colorado_2012),12,70
Thousand_Oaks_nightclub_shooting_(Thousand_Oaks_California_2018),12,22
Washington_Navy_Yard_shooting_(Washington_D.C._2013),12,8
Tree_of_Life_synagogue_shooting_(Pittsburgh_Pennsylvania_2018),11,6
GMAC_massacre_(Jacksonville_Florida_1990),10,4
Red_Lake_massacre_(Red_Lake_Minnesota_2005),10,5
Sante_Fe_High_School_shooting_(Sante_Fe_Texas_2018),10,13
Dayton_entertainment_district_shooting_(Dayton_Ohio_2019),9,27
Atlanta_day_trading_spree_killings_(Atlanta_Georgia_1999),9,13
Standard_Gravure_shooting_(Louisville_Kentucky_1989),9,12
