metropolitan_areas_in_Canada,Men,Women
Toronto_Ontario,3179.9,3291.95
Montréal_Quebec,2140.79,2177.72
Vancouver_British_Columbia,1324.28,1367.07
Calgary_Alberta,758.97,755.76
Edmonton_Alberta,725.99,721.16
Ottawa-Gatineau_Ontario/Quebec,710.03,731.09
Winnipeg_Manitoba,419.57,424.99
Québec_Quebec,409.4,415.01
Hamilton_Ontario,391.24,403.48
Kitchener-Cambridge-Waterloo_Ontario,293.46,290.8
London_Ontario,268.61,276.83
Halifax_Nova_Scotia,215.62,224.73
St._Catharines-Niagara_Ontario,213.96,220.97
Oshawa_Ontario,204.55,209.38
Victoria_British_Columbia,196.33,205.94
Windsor_Ontario,177.08,177.84
Saskatoon_Saskatchewan,165.47,165.2
Regina_Saskatchewan,131.52,130.16
Sherbrooke_Quebec,109.66,111.39
Kelowna_British_Columbia,107.32,109.91
Barrie_Ontario,106.51,107.15
St._John's_Newfoundland_and_Labrador,104.54,107.89
Abbotsford-Mission_British_Columbia,102.64,99.31
Kingston_Ontario,86.7,89.01
Greater_Sudbury_Ontario,85.37,86.85
Saguenay_Quebec,82.15,80.27
Guelph_Ontario,81.68,83.56
Trois-Rivières_Quebec,79.23,81.46
Moncton_New_Brunswick,76.87,78.96
Brantford_Ontario,74.1,74.92
Saint_John_New_Brunswick,64.05,66.97
Peterborough_Ontario,63.76,67.65
Thunder_Bay_Ontario,63.31,63.89
