Business,Total,E-commerce
Motor_vehicles_and_parts_dealers,1191321,35348
Furniture_and_home_furnishings_stores,116895,1533
Electronics_and_appliance_stores,100205,2056
Building_materials_and_garden_equipment_and_supplies_dealers,381313,2795
Food_and_beverage_stores,745736,4837
Health_and_personal_care_stores,347454,744
Gasoline_stations__(S),503925,0
Clothing_and_clothing_accessories_stores,268163,10981
Sporting_goods_hobby_musical_instrument_and_book_stores,81179,2617
General_merchandise_stores,706298,0
Miscellaneous_store_retailers,130130,0
Nonstore_retailers,696849,453584
Electronic_shopping_and_mail-order_houses,611743,451635
