Month,Home_quarantine,Hospital_quarantine
Dec_17,283389,13358
Dec_10,302567,13924
Dec_3,298929,15100
Nov_26,300925,16270
Nov_19,301547,16478
Nov_12,296773,18810
Nov_5,281568,21351
Oct_29,269424,22540
Oct_23,257404,22780
Oct_16,251145,25582
Oct_9,245261,28425
Oct_1,212849,30258
Sept_22,194488,25782
Sept_15,185514,22627
Sept_8,180963,17887
Sept_1,177488,19094
Aug_25,166784,17010
Aug_18,151931,13633
Aug_11,137586,12121
Aug_3,134455,10779
Jul_27,145751,9397
Jul_20,157523,7710
Jul_12,177794,3990
Jul_6,180316,2975
Jun_30,181876,2781
Jun_28,173123,2611
Jun_22,145225,2126
Jun_14,240744,2023
Jun_2,145670,1340
May_24,94662,732
May_23,90416,668
May_22,83649,609
May_21,79611,527
May_20,73865,533
May_19,71545,455
May_18,67316,473
May_17,61855,674
May_16,56362,619
May_15,48287,538
May_14,36362,548
May_13,33953,494
May_12,31143,473
May_11,27545,441
May_10,26350,362
May_9,23596,334
May_8,19810,347
May_7,16383,310
May_6,14402,268
May_5,21034,308
May_4,21352,372
May_3,21332,388
May_2,21484,410
May_1,21067,432
Apr_30,20285,426
Apr_29,20172,501
Apr_28,20255,518
Apr_27,19812,489
Apr_26,19665,462
Apr_25,20580,464
Apr_24,21243,482
Apr_23,23439,437
Apr_22,28804,346
Apr_21,36335,332
Apr_20,45925,398
Apr_19,55129,461
Apr_18,66686,504
Apr_17,78454,526
Apr_16,88332,523
Apr_15,96942,522
Apr_14,106511,564
Apr_13,111468,715
Apr_12,116125,816
Apr_11,122676,814
Apr_10,129021,730
Apr_9,135472,723
Apr_8,139725,749
Apr_7,145934,752
Apr_6,152009,795
Apr_5,157841,776
Apr_4,170621,734
Apr_3,169291,706
Apr_2,165291,643
Apr_1,163508,622
Mar_31,162471,658
Mar_30,156660,623
Mar_29,140618,593
Mar_28,133750,620
Mar_27,109683,616
Mar_26,101402,601
Mar_25,76010,532
Mar_24,71994,466
Mar_23,63937,383
Mar_22,58981,314
Mar_21,52785,228
Mar_20,44165,225
Mar_19,30936,237
Mar_18,25366,237
Mar_17,17743,268
Mar_16,12470,270
Mar_15,10655,289
Mar_14,7375,302
Mar_13,5191,277
Mar_12,3910,270
Mar_11,3020,293
Mar_10,1236,259
Mar_9,967,149
Mar_8,648,84
Mar_7,574,63
Mar_6,546,46
Mar_5,508,39
Mar_4,438,31
Mar_3,388,23
Mar_2,276,17
Mar_1,193,13
Feb_29,181,10
Feb_28,128,8
Feb_27,128,7
Feb_26,130,2
Feb_25,118,8
Feb_24,128,7
Feb_23,122,5
Feb_22,137,5
Feb_21,706,5
Feb_20,907,7
Feb_19,2234,8
Feb_18,2209,13
Feb_17,2233,13
Feb_16,2262,14
Feb_15,2194,16
Feb_14,2272,16
Feb_13,2375,22
Feb_12,2431,24
Feb_11,3420,27
Feb_10,3336,31
Feb_9,3218,34
Feb_8,3099,45
Feb_7,2953,61
Feb_6,2743,83
Feb_5,2435,93
Feb_4,2321,100
Feb_3,2155,84
Feb_2,1924,75
Feb_1,1723,70
Jan_31,1421,50
Jan_30,1038,15
Jan_29,796,10
Jan_28,626,0
Jan_27,431,0
Jan_26,281,0
Jan_25,172,0
