Response,"Yes,_I_believe","No,_I_don’t"
Finding_and_picking_up_a_penny_is_good_luck,33,67
It’s_bad_luck_for_the_groom_to_see_the_bride_before_the_wedding,24,76
Seven_is_a_lucky_number,23,77
Knocking_on_wood_prevents_bad_luck,21,79
It’s_unlucky_to_walk_under_a_ladder,20,80
Opening_an_umbrella_indoors_is_bad_luck,14,86
Friday_the_13th_is_an_unlucky_day,14,86
Breaking_a_mirror_brings_seven_years_bad_luck,14,86
Throwing_spilled_salt_over_the_left_shoulder_prevents_bad_luck,13,87
A_black_cat_crossing_your_path_is_bad_luck,13,87
13_is_an_unlucky_number,12,88
Stepping_on_a_crack_is_bad_luck,7,93
