Year_and_candidate,Democrat,Republican,Unaffiliated,Democratic_Republican,Uncast_ballot,National_Republican,Whig,Constitutional_Union,Liberal_Republican
2020:_Donald_Trump,0,8,0,0,0,0,0,0,0
2016:_Donald_Trump,0,8,0,0,0,0,0,0,0
2012:_Mitt_Romney,0,8,0,0,0,0,0,0,0
2008:_John_McCain,0,8,0,0,0,0,0,0,0
2004:_George_W._Bush,0,8,0,0,0,0,0,0,0
2000:_George_W._Bush,0,8,0,0,0,0,0,0,0
1996:_Bill_Clinton,8,0,0,0,0,0,0,0,0
1992:_Bill_Clinton,8,0,0,0,0,0,0,0,0
1988:_George_H._W._Bush,0,9,0,0,0,0,0,0,0
1984:_Ronald_Reagan,0,9,0,0,0,0,0,0,0
1980:_Ronald_Reagan,0,9,0,0,0,0,0,0,0
1976:_Jimmy_Carter,9,0,0,0,0,0,0,0,0
1972:_Richard_Nixon,0,9,0,0,0,0,0,0,0
1968:_Richard_Nixon,0,9,0,0,0,0,0,0,0
1964:_Lyndon_B._Johnson,9,0,0,0,0,0,0,0,0
1960:_Richard_Nixon,0,10,0,0,0,0,0,0,0
1956:_Dwight_D._Eisenhower,0,10,0,0,0,0,0,0,0
1952:_Adlai_Stevenson,10,0,0,0,0,0,0,0,0
1948:_Harry_S._Truman,11,0,0,0,0,0,0,0,0
1944:_Franklin_D._Roosevelt,11,0,0,0,0,0,0,0,0
1940:_Franklin_D._Roosevelt,11,0,0,0,0,0,0,0,0
1936:_Franklin_D._Roosevelt,11,0,0,0,0,0,0,0,0
1932:_Franklin_D._Roosevelt,11,0,0,0,0,0,0,0,0
1928:_Herbert_Hoover,0,13,0,0,0,0,0,0,0
1924:_Calvin_Coolidge,0,13,0,0,0,0,0,0,0
1920:_James_M._Cox,13,0,0,0,0,0,0,0,0
1916:_Woodrow_Wilson,13,0,0,0,0,0,0,0,0
1912:_Woodrow_Wilson,13,0,0,0,0,0,0,0,0
1908:_William_Jennings_Bryan,13,0,0,0,0,0,0,0,0
1904:_Alton_B._Parker,13,0,0,0,0,0,0,0,0
1900:_William_Jennings_Bryan,13,0,0,0,0,0,0,0,0
1896:_William_McKinley,1,12,0,0,0,0,0,0,0
1892:_Grover_Cleveland,13,0,0,0,0,0,0,0,0
1888:_Grover_Cleveland,13,0,0,0,0,0,0,0,0
1884:_Grover_Cleveland,13,0,0,0,0,0,0,0,0
1880:_Winfield_Hancock,12,0,0,0,0,0,0,0,0
1876:_Samuel_J._Tilden,12,0,0,0,0,0,0,0,0
1872:_Horace_Greeley_,12,0,0,0,0,0,0,0,0
1868:_Thomas_A._Hendricks_(8)_Benjamin_G.Brown_(4),8,0,0,0,0,0,0,0,4
1864:_George_B._McClellan,11,0,0,0,0,0,0,0,0
1860:_John_Bell,0,0,0,0,0,0,0,12,0
1856:_James_Buchanan,12,0,0,0,0,0,0,0,0
1852:_Winfield_Scott,0,0,0,0,0,0,12,0,0
1848:_Zachary_Taylor,0,0,0,0,0,0,12,0,0
1844:_Henry_Clay,0,0,0,0,0,0,12,0,0
1840:_William_Henry_Harrison,0,0,0,0,0,0,15,0,0
1836:_William_Henry_Harrison,0,0,0,0,0,0,15,0,0
1832:_Henry_Clay,0,0,0,0,0,15,0,0,0
1828:_Andrew_Jackson,14,0,0,0,0,0,0,0,0
1824:_Henry_Clay,0,0,0,14,0,0,0,0,0
1820:_James_Monroe,0,0,0,12,0,0,0,0,0
1816:_James_Monroe,0,0,0,12,0,0,0,0,0
1812:_James_Madison,0,0,0,12,0,0,0,0,0
1808:_James_Madison,0,0,0,7,1,0,0,0,0
1804:_Thomas_Jefferson,0,0,0,8,0,0,0,0,0
1800:_Thomas_Jefferson,0,0,0,4,0,0,0,0,0
1796:_Thomas_Jefferson,0,0,0,4,0,0,0,0,0
1792:_George_Washington,0,0,4,0,0,0,0,0,0
