Year_and_candidate,Democrat,Republican,Federalist,Democratic-Republican,National_Republican,Whig,Unaffiliated
2020:_Joe_Biden,7,0,0,0,0,0,0
2016:_Hillary_Clinton,7,0,0,0,0,0,0
2012:_Barack_Obama,7,0,0,0,0,0,0
2008:_Barack_Obama,7,0,0,0,0,0,0
2004:_John_Kerry,7,0,0,0,0,0,0
2000:_Al_Gore,8,0,0,0,0,0,0
1996:_Bill_Clinton,8,0,0,0,0,0,0
1992:_Bill_Clinton,8,0,0,0,0,0,0
1988:_George_H._W._Bush,0,8,0,0,0,0,0
1984:_Ronald_Reagan,0,8,0,0,0,0,0
1980:_Ronald_Reagan,0,8,0,0,0,0,0
1976:_Gerald_R._Ford,0,8,0,0,0,0,0
1972:_Richard_Nixon,0,8,0,0,0,0,0
1968:_Hubert_Humphrey,8,0,0,0,0,0,0
1964:_Lyndon_B._Johnson,8,0,0,0,0,0,0
1960:_John_F._Kennedy,8,0,0,0,0,0,0
1956:_Dwight_D._Eisenhower,0,8,0,0,0,0,0
1952:_Dwight_D._Eisenhower,0,8,0,0,0,0,0
1948:_Thomas_E._Dewey,0,8,0,0,0,0,0
1944:_Franklin_D._Roosevelt,8,0,0,0,0,0,0
1940:_Franklin_D._Roosevelt,8,0,0,0,0,0,0
1936:_Franklin_D._Roosevelt,8,0,0,0,0,0,0
1932:_Herbert_Hoover,0,8,0,0,0,0,0
1928:_Herbert_Hoover,0,7,0,0,0,0,0
1924:_Calvin_Coolidge,0,7,0,0,0,0,0
1920:_Warren_G._Harding,0,7,0,0,0,0,0
1916:_Charles_Evans_Hughes,0,7,0,0,0,0,0
1912:_Woodrow_Wilson,7,0,0,0,0,0,0
1908:_William_Howard_Taft,0,7,0,0,0,0,0
1904:_Theodore_Roosevelt,0,7,0,0,0,0,0
1900:_William_McKinley,0,6,0,0,0,0,0
1896:_William_McKinley,0,6,0,0,0,0,0
1892:_Grover_Cleveland,6,0,0,0,0,0,0
1888:_Grover_Cleveland,6,0,0,0,0,0,0
1884:_Grover_Cleveland,6,0,0,0,0,0,0
1880:_James_A._Garfield,0,6,0,0,0,0,0
1876:_Samuel_J._Tilden,6,0,0,0,0,0,0
1872:_Ulysses_S._Grant,0,6,0,0,0,0,0
1868:_Ulysses_S._Grant,0,6,0,0,0,0,0
1864:_Abraham_Lincoln,0,6,0,0,0,0,0
1860:_Abraham_Lincoln,0,6,0,0,0,0,0
1856:_John_C._Frémont,0,6,0,0,0,0,0
1852:_Franklin_Pierce,6,0,0,0,0,0,0
1848:_Zachary_Taylor,0,0,0,0,0,6,0
1844:_Henry_Clay,0,0,0,0,0,6,0
1840:_William_Henry_Harrison,0,0,0,0,0,8,0
1836:_Martin_Van_Buren,8,0,0,0,0,0,0
1832:_Henry_Clay,0,0,0,0,8,0,0
1828:_John_Quincy_Adams,0,0,0,0,8,0,0
1824:_John_Quincy_Adams,0,0,0,8,0,0,0
1820:_James_Monroe,0,0,0,9,0,0,0
1816:_Rufus_King,0,0,9,0,0,0,0
1812:_DeWitt_Clinton,0,0,9,0,0,0,0
1808:_Charles_C._Pinckney,0,0,9,0,0,0,0
1804:_Charles_C._Pinckney,0,0,9,0,0,0,0
1800:_John_Adams,0,0,9,0,0,0,0
1796:_John_Adams,0,0,9,0,0,0,0
1792:_George_Washington,0,0,0,0,0,0,9
1789:_George_Washington,0,0,0,0,0,0,7
