Goods_and_services,Men,Women
Clothes_(including_sports_clothing)_shoes_and_accessories,49,62
Deliveries_from_restaurants_fast-food_chains_or_catering_services,32,32
Printed_books_magazines_or_newspapers,28,30
Furniture_home_accessories_or_gardening_products,29,28
Computers_tablets_mobile_phones_or_accessories,27,21
Children's_toys_or_childcare_items,19,24
Cosmetics_beauty_or_wellness_products,15,29
Cleaning_products_or_personal_hygiene_products,16,20
Consumer_electronics_for_example_TVs_stereos_cameras_or_household_appliances,23,13
Sports_goods_(excluding_sports_clothing),22,12
Food_or_beverages_from_stores_or_from_meal-kit_providers,13,14
Medicine_or_dietary_supplements_such_as_vitamins,13,13
Physical_copies_of_films_or_series,15,11
Physical_copies_of_music,15,10
