Month,Tesco,Sainsbury's,Asda,Morrisons,Aldi,The_Cooperative,Lidl,Waitrose,Iceland,Symbols_and_Independent,Other_Multiples,Ocado
Jan_15,29,16.7,16.9,11.1,4.9,5.9,3.5,5.2,2.2,1.9,2.7,0
Feb_15,28.7,16.8,17,11,5,5.9,3.5,5.2,2.2,2,2.8,0
Mar_15,28.4,16.4,17.1,10.9,5.3,6,3.7,5.1,2.1,2.1,2.9,0
Apr_15,28.4,16.5,16.9,10.9,5.4,6,3.8,5.1,2.1,2,2.9,0
May_15,28.6,16.5,16.6,10.9,5.4,6,3.9,5.2,2.1,2,2.8,0
Jun_15,28.6,16.5,16.5,11,5.5,6.2,3.9,5.1,2,2.1,2.8,0
Jul_15,28.5,16.5,16.4,10.9,5.6,6.3,4,5,2,2.1,2.8,0
Aug_15,28.3,16.3,16.6,10.8,5.6,6.4,4.1,5.1,2,2.1,2.8,0
Sep_15,28.2,16.2,16.7,10.7,5.6,6.4,4.2,5.2,2,2.1,2.8,0
Oct_15,28.1,16.1,16.6,10.8,5.6,6.4,4.3,5.2,2,2.1,2.9,0
Nov_15,27.9,16.6,16.4,10.8,5.6,6.3,4.4,5.2,1.9,2,2.8,0
Dec_15,28,16.7,16.2,11,5.6,6.2,4.4,5.1,2,2,2.8,0
Feb_16,28.4,16.8,16.2,10.6,5.8,6,4.2,5.2,2.1,1.9,3,0
Mar_16,28.1,16.4,16.2,10.5,6,6.1,4.4,5.1,2,2,3.2,0
Apr_16,28,16.5,16,10.6,6,6.2,4.4,5.2,2,1.9,3.2,0
May_16,28.3,16.2,15.8,10.7,6,6.2,4.4,5.3,2.1,1.9,3.1,0
Jun_16,28.2,16.3,15.6,10.8,6.1,6.3,4.4,5.2,2.1,1.9,3.1,0
Jul_16,28.3,16.3,15.5,10.7,6.2,6.4,4.5,5.1,2.1,1.9,3.1,0
Aug_16,28.1,16.1,15.7,10.6,6.2,6.6,4.5,5.1,2.1,2,3.1,0
Sep_16,28.1,15.9,15.7,10.4,6.2,6.6,4.6,5.3,2.1,1.9,3.1,0
Oct_16,28.2,16,15.6,10.4,6.2,6.5,4.6,5.4,2.1,1.9,3.1,0
Nov_16,28.2,16.3,15.5,10.5,6.1,6.4,4.6,5.3,2.1,1.9,3,0
Dec_16,28.3,16.5,15.3,10.8,6.2,6.3,4.6,5.1,2.2,1.8,3,0
Jan_17,28.1,16.5,15.6,10.9,6.2,6,4.5,5.3,2.3,1.8,2.9,0
Feb_17,27.9,16.5,15.7,10.6,6.3,5.9,4.6,5.3,2.2,1.9,3,0
Mar_17,27.6,16.1,15.7,10.4,6.8,6.1,4.9,5.1,2.2,2,3.2,0
Apr_17,27.6,16.2,15.6,10.5,6.9,6.1,5,5.2,2.1,2,2.9,0
May_17,27.8,15.9,15.4,10.5,7,6.1,5,5.2,2.2,2,2.9,0
Jun_17,27.9,16,15.2,10.7,6.9,6.1,5,5.2,2.2,2,2.9,0
Jul_17,27.9,16,15.1,10.5,7,6.2,5.1,5.1,2.1,2,2.9,0
Aug_17,27.9,15.9,15.3,10.4,7,6.3,5.2,5.1,2.1,1.9,2.8,0
Sep_17,27.9,15.8,15.4,10.3,7,6.3,5.3,5.3,2.1,1.9,2.8,0
Oct_17,28,15.8,15.5,10.3,6.8,6.2,5.2,5.3,2.1,1.8,2.9,0
Nov_17,28.1,16.3,15.3,10.4,6.7,6.1,5.1,5.3,2,1.8,2.8,0
Dec_17,28.2,16.4,15,10.6,6.9,6,5.1,5,2.2,1.7,2.8,0
Jan_18,27.9,16.3,15.5,10.8,7,5.8,5,5.2,2.3,1.6,2.7,0
Feb_18,27.9,16.2,15.6,10.6,7,5.8,5.1,5.2,2.2,1.7,2.9,0
Mar_18,27.6,15.8,15.6,10.4,7.3,6,5.3,5,2.1,1.7,2.9,0
Apr_18,27.6,15.9,15.5,10.5,7.3,6,5.4,5.1,2.1,1.8,3,0
May_18,27.7,15.7,15.4,10.5,7.3,6,5.4,5.1,2.1,1.8,3,0
Jun_18,27.7,15.6,15.1,10.6,7.4,6.2,5.4,5.1,2.2,1.8,3,0
Jul_18,27.6,15.6,15.1,10.5,7.5,6.4,5.4,5,2.1,1.8,3,0
Aug_18,27.4,15.5,15.2,10.4,7.6,6.6,5.5,5,2.1,1.8,3,0
Sep_18,27.4,15.4,15.3,10.2,7.6,6.6,5.5,5.1,2.1,1.7,3,0
Oct_18,27.4,15.4,15.3,10.3,7.6,6.4,5.6,5.2,2.1,1.7,3,0
Nov_18,27.5,15.8,15.3,10.3,7.6,6.3,5.5,5.1,2.1,1.6,2.9,0
Dec_18,27.6,16,15,10.5,7.6,6.2,5.6,4.9,2.2,1.6,2.9,0
Jan_19,27.7,15.9,15.3,10.6,7.5,5.9,5.3,5.1,2.3,1.5,3.6,0
Feb_19,27.7,15.7,15.5,10.5,7.6,5.9,5.2,5.2,2.2,1.6,3,0
Mar_19,27.4,15.3,15.4,10.3,8,6.1,5.6,5,2.1,1.7,3.1,0
Apr_19,27.3,15.4,15.3,10.3,7.9,6.1,5.7,5,2.1,1.7,1.8,1.4
May_19,27.3,15.2,15.2,10.4,8,6.1,5.8,5.1,2.1,1.7,1.9,1.4
Jun_19,27.3,15.3,14.9,10.4,7.9,6.2,5.7,5,2.1,1.7,1.9,1.4
Jul_19,27.2,15.3,14.9,10.3,8.1,6.4,5.8,5,2.1,1.7,1.9,1.4
Aug_19,27,15.4,14.9,10.1,8.1,6.6,5.9,4.9,2.1,1.7,1.9,1.4
Sep_19,26.9,15.3,15.1,9.9,8.1,6.6,6,5,2.1,1.7,1.9,1.4
Oct_19,27,15.3,15,9.9,8.1,6.6,6,5.1,2.1,1.8,1.9,1.4
Nov_19,27,15.6,15,10,8,6.5,5.9,5,2.1,1.8,1.8,1.4
Dec_19,27.3,15.7,14.6,10.1,8,6.3,6.1,4.8,2.2,1.7,1.7,1.4
Dec_19,27.4,16,14.8,10.3,7.8,6.1,5.9,5,2.3,1.6,1.6,1.3
Jan_20,27.3,15.8,14.9,10.3,7.9,6,5.9,5,2.3,1.6,1.7,1.4
Feb_20,27.2,15.6,15.1,10.2,7.9,6,5.8,5.1,2.2,1.6,1.7,1.4
Mar_20,26.8,15.3,15,10,8.2,6.2,6.1,5,2.2,1.9,1.9,1.5
April_20,26.8,15.3,14.4,9.9,7.9,6.7,6,5,2.2,2.2,2,1.5
May_20,26.9,15,14.1,10,7.7,7,5.9,5,2.4,2.5,2,1.6
Jun_20,26.9,14.9,13.9,10.1,7.5,7.4,5.8,4.8,2.5,2.6,2,1.7
Jul_20,26.7,14.9,14.1,10.3,7.8,7.2,5.9,4.7,2.5,2.3,2,1.7
Aug_20,26.6,14.9,14.3,10.2,7.9,7.1,5.9,4.7,2.4,2.2,1.9,1.8
Sep_20,26.8,14.9,14.5,10.1,8,6.8,6,4.9,2.4,2.1,1.9,1.7
Oct_20,26.9,14.9,14.4,10.1,8,6.6,6.1,5,2.3,2,1.9,1.8
