State,Number_of_votes
California,13038547
Florida,8474179
Texas,7993851
New_York,7061925
Pennsylvania,5753670
Ohio,5580822
Illinois,5242014
Michigan,4730961
North_Carolina,4505372
Georgia,3900050
Virginia,3854490
New_Jersey,3638499
Massachusetts,3167767
Washington,3125516
Wisconsin,3071434
Minnesota,2936561
Missouri,2757323
Maryland,2707327
Indiana,2624534
Colorado,2569520
Tennessee,2458577
Arizona,2299254
Alabama,2074338
Louisiana,1994065
South_Carolina,1964118
Kentucky,1797212
Oregon,1789270
Iowa,1582180
Connecticut,1558960
Oklahoma,1334872
Mississippi,1285584
Kansas,1159971
Arkansas,1069468
Utah,1017440
Nevada,1014918
Nebraska,794379
New_Mexico,783758
Maine,713180
New_Hampshire,710972
West_Virginia,670438
Idaho,652274
Montana,484048
Rhode_Island,446049
Hawaii,434697
Delaware,413921
South_Dakota,363815
North_Dakota,322932
Alaska,300495
Vermont,299290
District_of_Columbia,293764
Wyoming,249061
