Quarter,Other,Managed_services,Data_&_broadband,Voice,Mobile,Ventures
Q4_2017,24,88,127,120,56,89
Q3_2017,25,88,129,125,55,84
Q2_2017,25,83,131,125,60,80
Q1_2017,24,86,131,126,57,68
Q4_2016,30,96,141,133,57,84
Q3_2016,28,96,140,129,58,77
Q2_2016,24,90,143,129,54,82
Q1_2016,25,97,139,134,54,69
Q4_2015,29,108,147,143,33,83
Q3_2015,23,160,153,169,1,72
Q2_2015,26,149,150,178,1,71
Q1_2015,30,152,142,186,2,66
Q4_2014,27,154,151,217,2,76
Q3_2014,31,144,152,179,1,75
Q2_2014,32,137,150,182,1,77
Q1_2014,28,133,159,183,1,69
