Response,Guarantees_this,Does_not_guarantee_this
The_right_to_freely_exercise_the_religion_of_one's_choosing,86,14
The_right_to_assemble_peacefully_(e.g._organized_protests),85,15
Freedom_to_publish,84,16
Freedom_to_publish_opinions,84,16
The_right_to_petition_branches_and_agencies_of_the_government_for_action,80,20
The_ability_to_speak_freely_without_fear_of_government_censorship_or_prosecution,79,21
The_right_to_be_free_from_the_influence_of_religion_of_one_so_chooses,76,24
Separation_between_government_and_religious_bodies,67,33
The_ability_to_speak_freely_without_fear_of_impact_on_one's_livelihood,67,33
Separation_between_government_and_religious_practices,64,36
The_ability_to_speak_freely_without_fear_of_censorship_or_prosecution_from_private_companies,62,38
The_right_to_donate_money_without_limit_to_politicians_as_a_form_of_free_speech,32,68
The_barring_of_religious_practices_by_any_individual_within_a_school,31,69
The_right_to_make_damaging_statements_about_private_companies_without_limitation,30,70
The_right_to_make_damaging_statements_about_fellow_citizens_without_limitation,26,74
