Response,More_than_last_year,Same_as_last_year,Less_than_last_year,No_money
Sports_and_recreational_footwear,9,43,11,37
Sports_and_recreational_clothing,9,40,13,38
Outdoor_recreational_activities,8,44,11,37
Gym_memberships_and_fees,7,26,7,60
Sports_and_recreational_equipment,7,33,11,49
Travel_to_take_part_in_sports_and_recreation,7,28,9,56
Individual_sporting_events,5,18,7,70
Team_sports_outside_of_school,5,18,6,71
Sports_and_recreation_lessons_and_camps,5,15,6,74
Team_sports_at_school,4,15,4,77
