Game_(network)_(week),Rating,Viewers_(in_millions)
Rams_vs._49ers_(ESPN)_(week_1),6.2,10.3
Steelers_vs._Washington_Football_Team_(ESPN)_(week_1),7.7,13.0
Packers_vs._Jaguars_(FOX)_(week_1),9.2,15.8
Regional_action_(CBS)_(week_1),9.3,16.0
Patriots_vs._Cardinals_(NBC)_(week_1),13.1,23.1
Panthers_vs._Broncos_(NBC)_(week_1),14.6,25.2
Giants_vs._Cowboys_(FOX)_(week_1),15.5,27.5
Eagles_vs._Bears_(ESPN)_(week_2),7.3,12.1
Regional_action_(CBS)_(week_2),8.5,14.4
Jets_vs._Bills_(CBS_NFLN)_(week_2),9.5,15.4
Cowboys_vs._Washington_Football_Team_(FOX)_(week_2),11.0,19.2
Colts_vs._Broncos_(CBS)_(week_2),12.2,21.4
Packers_vs._Vikings_(NBC)_(week_2),12.7,22.8
Falcons_vs._Saints_(ESPN_(week_3),4.9,8.0
Regional_action_(CBS)_(week_3),8.0,13.1
Texans_vs._Patriots_(CBS_NFLN)_(week_3),10.6,17.5
Washington_Football_Team_vs._Giants_(FOX)_(week_3),11.1,19.2
Bears_vs._Cowboys_(NBC)_(week_3),11.7,20.6
Steelers_vs._Eagles_(CBS)_(week_3),12.6,22.0
Colts_vs._Jaguars_-_in_London_(CBS)_(week_4),4.8,7.7
Dolphins_vs._Bengals_(NFLN)_(week_4),4.8,7.9
Seahawks_vs._Jets_(FOX)_(week_4),6.7,11.2
Giants_vs._Vikings_(ESPN)_(week_4),8.0,13.2
Regional_action_(CBS)_(week_4),9.4,16.4
Chiefs_vs._Steelers_(NBC)_(week_4),10.3,18.1
Cowboys_vs._49ers_(FOX)_(week_4),13.1,22.7
Buccaneers_vs._Panthers_(ESPN)_(week_5),5.6,9.1
Cardinals_vs._49ers_(CBS_NFLN)_(week_5),7.4,12.1
Regional_action_(CBS)_(week_5),9.0,15.2
Giants_vs._Packers_(NBC)_(week_5),9.3,16.6
Falcons_vs._Broncos_(FOX)_(week_5),9.4,16.5
Bengals_vs._Cowboys_(CBS)_(week_5),12.1,21.3
Jets_vs._Cardinals_(ESPN)_(week_6),5.2,8.4
Eagles_vs._Washington_Football_Team_(FOX)_(week_6),7.7,13.2
Colts_vs._Texans_(NBC)_(week_6),8.1,13.6
Broncos_vs._Chargers_(CBS_NFLN)_(week_6),8.7,14.5
Regional_action_(CBS)_(week_6),10.2,17.2
Cowboys_vs._Packers_(FOX)_(week_6),15.8,28.0
Giants_vs._Rams_-_in_London_(NFLN)_(week_7),2.4,3.7
Texans_vs._Broncos_(ESPN)_(week_7),6.7,11.2
Regional_action_(CBS)_(week_7),7.0,11.3
Packers_vs._Bears_(CBS_NFLN)_(week_7),8.6,14.2
Vikings_vs._Eagles_(FOX)_(week_7),10.1,16.9
Seahawks_vs._Cardinals_(NBC)_(week_7),10.2,17.7
Patriots_vs._Steelers_(CBS)_(week_7),12.6,21.7
Jaguars_vs._Titans_(NFLN)_(week_8),3.2,5.1
Washington_Football_Team_vs._Bengals_-_in_London_(FOX)_(week_8),5.5,8.7
Vikings_vs._Bears_(ESPN)_(week_8),6.4,10.5
Seahawks_vs._Saints_(FOX)_(week_8),7.7,12.8
Regional_action_(CBS)_(week_8),9.5,16.2
Eagles_vs._Cowboys_(NBC)_(week_8),10.2,18.0
Packers_vs._Falcons_(FOX)_(week_8),13.1,22.7
Falcons_vs._Buccaneers_(NFLN)_(week_9),3.6,5.8
Bills_vs._Seahawks_(ESPN)_(week_9),6.9,11.3
Regional_action_(CBS)_(week_9),6.9,11.3
Broncos_vs._Raiders_(NBC)_(week_9),10.4,18.3
Cowboys_vs._Browns_(FOX)_(week_9),11.6,20.2
Colts_vs._Packers_(CBS)_(week_9),11.7,20.2
Cowboys_vs._Steelers_(FOX)_(week_10),16.4,28.9
Patriots_vs._Seahawks_(NBC)_(week_10),12.7,22.5
Falcons_vs._Eagles_(FOX)_(week_10),9.4,15.9
Regional_action_(CBS)_(week_10),7.8,13.2
Ravens_vs._Browns_(NFLN)_(week_10),3.5,5.7
Eagles_vs._Seahawks_(CBS)_(week_11),13.6,24.4
Packers_vs._Washington_Football_Team_(NBC)_(week_11),10.8,18.7
Ravens_vs._Cowboys_(CBS)_(week_11),10.2,17.6
Bears_vs._Giants_(FOX)_(week_11),8.45,14.3
Saints_vs._Panthers_(NBC_NFLN)_(week_11),8.1,13.3
Texans_vs._Raiders_(ESPN)_(week_11),6.9,11.8
Washington_Football_Team_vs._Cowboys_(FOX)_(week_12),14.5,35.1
Vikings_vs._Lions_(CBS)_(week_12),13.0,27.6
Colts_vs._Steelers_(NBC)_(week_12),10.1,20.9
Chiefs_vs._Broncos_(NBC)_(week_12),10.7,18.4
Seahawks_vs._Buccaneers_(FOX)_(week_12),9.8,13.1
Packers_vs._Eagles_(ESPN)_(week_12),7.8,13.1
Regional_action_(CBS)_(week_12),7.6,12.8
Giants_vs._Steelers_(FOX)_(week_13),14.6,25.4
Cowboys_vs._Vikings_(NBC_NFLN)_(week_13),12.8,21.8
Regional_action_(CBS)_(week_13),10.8,18.5
Panthers_vs._Seahawks_(NBC)_(week_13),10.2,17.8
Lions_vs._Saints_(FOX)_(week_13),7.3,12.2
Colts_vs._Jets_(ESPN)_(week_13),5.0,8.1
Cowboys_vs._Giants_(NBC)_(week_14),14.9,26.5
Seahawks_vs._Packers_(FOX)_(week_14),14.4,25.3
Regional_action_(CBS)_(week_14),11.2,19.1
Raiders_vs._Chiefs_(NBC_NFLN)_(week_14),10.5,17.4
Ravens_vs._Patriots_(ESPN)_(week_14),7.8,12.9
Washington_Football_Team_vs._Eagles_(FOX)_(week_14),7.5,12.3
Patriots_vs._Broncos_(CBS)_(week_15),14.25,25.0
Buccaneers_vs._Cowboys_(NBC)_(week_15),13.6,24.1
Lions_vs._Giants_(FOX)_(week_15),10.8,18.7
Regional_action_(CBS)_(week_15),8.8,15.0
Rams_vs._Seahawks_(NBC_NFLN)_(week_15),8.8,14.7
Panthers_vs._Redskins_(ESPN)_(week_15),6.8,11.2
Jets_vs._Dolphins_(NFLN)_(week_15),2.5,4.4
Chiefs_vs._Broncos_(NBC)_(week_16),10.6,21.4
Lions_vs._Cowboys_(ESPN)_(week_16),10.1,18.6
Packers_vs._Vikings_(FOX)_(week_16),10.0,18.4
Giants_vs._Eagles_(NBC_NFLN)_(week_16),10.6,17.9
Buccaneers_vs._Saints_(FOX)_(week_16),8.1,15.4
Steelers_vs._Ravens_(NFLN)_(week_16),6.5,14.8
Regional_action_(CBS)_(week_16),7.7,14.2
Bengals_vs._Texans_(NFLN)_(week_16),3.2,6.3
Packers_vs._Lions_(NBC)_(week_17),13.0,23.8
Giants_vs._Washington_Football_Team_(FOX)_(week_17),12.3,22.4
Cowboys_vs._Eagles_(FOX)_(week_17),9.65,17.0
Dolphins_vs._Patriots_(CBS)_(week_17),9.2,16.6
Regional_action_(CBS)_(week_17),6.8,12.1
Giants_vs._Packers_(FOX)_(Wildcard_Round),21.3,39.3
Dolphins_vs._Steelers_(CBS)_(Wildcard_Round),17.5,29.9
Lions_vs._Seahawks_(NBC)_(Wildcard_Round),14.8,26.9
Raiders_vs._Texans_(ABC_ESPN)_(Wildcard_Round),14.4,25.1
Packers_vs._Cowboys_(FOX)_(Divisional_Round),26.1,48.5
Steelers_vs._Chiefs_(NBC)_(Divisional_Round),19.8,37.1
Texans_vs._Patriots_(CBS)_(Divisional_Round),16.0,29.8
Seahawks_vs._Falcons_(FOX)_(Divisional_Round),16.2,28.7
Steelers_vs._Patriots_(CBS)_(Conference_Round),24.4,48.0
Packers_vs._Falcons_(FOX)_(Conference_Round),25.0,46.3
AFC_vs._NFC_(ESPN)_(Pro_Bowl),4.2,7.4
Patriots_vs._Falcons_(FOX)_(Super_Bowl),45.3,111.3
