university_in_Finland,Men,Women
University_of_Helsinki,11366,20254
Tampere_University,10218,10649
Aalto_University,11615,6011
University_of_Turku,6290,9910
University_of_Eastern_Finland,5744,9781
University_of_Jyväskylä,5589,8221
University_of_Oulu,6246,6299
Åbo_Akademi_University,2400,3154
University_of_Lapland,1224,3094
Lappeenranta_University_of_Technology,3850,1496
University_of_Vaasa,2483,2512
Hanken_school_of_Economics,1429,1076
University_of_the_Arts_Helsinki,814,1132
National_Defence_University,863,47
