Race,2014,2015,2016
Consumer_goods_and_services,3303109,5812433,4088848
ICT_(Communications_computer_and_electronics),6414402,3823608,3657041
Business_products_and_services,2279030,4174416,2521002
Biotech_and_healthcare,1257301,1061724,1272996
Financial_and_insurance_activities,1552050,2962088,1044871
Chemicals_and_materials,115865,374745,517329
Energy_and_environment,535934,1328579,509678
Transportation,293472,494038,396246
Real_estate,16171,181531,240931
Construction,135006,84338,90531
Agriculture,173668,378391,26392
Other,43019,221790,842220
