Top_donors_to_Hillary_Clinton's_2016_U.S._presidential_campaign_committee,Amount_contributed_in_U.S._dollars
University_of_California,739097
Alphabet_Inc,673636
EMILY's_List,497399
Morgan_&_Morgan,415209
Harvard_University,415161
Stanford_University,375092
Morgan_Stanley,345705
Time_Warner,338247
JPMorgan_Chase_&_Co,328557
US_Government,325775
DISH_Network,325722
Akin_Gump_et_al,321605
US_Dept_of_State,319247
Paul_Weiss_et_al,319234
Microsoft_Corp,310095
Skadden_Arps_et_al,300552
DLA_Piper,288137
Kirkland_&_Ellis,283838
Columbia_University,270946
Comcast_Corp,269032
