Title/location/years,Before_release,After_release,Change_in_percent
Tomb_Raider_Angkor_Cambodia_(visitors_in_1999_and_2011),100.0,1500.0,1400.0
Heartbeat_Goathland_England_(visitors_in_1991_and_2009),200.0,1200.0,500.0
Alice_in_Wonderland_Anthony_House_England_(visitors_in_2008_and_2011),20.0,83.0,315.0
The_Da_Vinci_Code_Rosslyn_Chapel_(visiotrs_in_2002_and_2009),36.64,138.85,278.96
Twilight_Forks_U.S._(visitors_in_2008_and_2009),18.74,69.98,273.32
Braveheart_National_Wallace_Monument_Scotland_(visitors_in_2007_and_2009),40.0,126.0,215.0
Pride_and_Prejudice_(TV_version)_Lyme_Park_England_(visitors_in_1994_and_1995),32.85,91.43,178.32
Winter_Sonata_Nami_Island_Korea_(foreign_visitors_in_2003_and_2005),111.42,295.0,164.76
Arn_Skaraborg;_Sweden_(visitors_in1999_and_2009),150.0,360.0,140.0
Harry_Potter_Alnwick_Castle_England,60.0,132.0,120.0
Captain_Corelli's_Mandolin_Kefalonia_Greece_(passengers_arriving_on_charter_flights/year_in_1993_and_2002),80.0,170.0,112.5
Miss_Potter_Hilltop_Farm_England_(visitors_in_2006_and_2009),64.5,103.0,59.69
The_Lord_of_the_Rings_New_Zealand_(international_visitors_in_1999_and_2008),1610.0,2500.0,55.28
Balamory_Tobermory_Scotland,400.0,550.0,37.5
