metal_and_mineral_products,2014,2015,2016,2017,2018,2019
Copper_metal_and_concentrates_(in_million_metric_tons),2.8,3.1,3.5,4.0,4.5,4.1
Zinc_metal_and_concentrates_(in_million_metric_tons),3.4,3.1,2.0,2.8,3.2,3.1
Lead_metal_and_concentrates_(in_million_metric_tons),0.8,1.1,0.9,1.0,0.9,1.1
Gold_(in_million_ounces),1.5,1.9,2.1,2.0,2,2.1
Silver_(in_million_ounces),66.2,89.3,92.1,89.1,81.4,68.3
Nickel_(in_thousand_metric_tons),203,231,221.0,204.0,199,181
Ferroalloys_incl._agency_(in_million_metric_tons),4.2,5,7.6,8.7,9,9.5
Cobalt_(in_thousand_metric_tons),0,0,39.0,42.0,0,0
Alumina/aluminium_(in_million_metric_tons),11.7,13.6,11.4,10.7,10.2,11
Iron_ore_(in_million_metric_tons),66,41.2,47.1,47.7,79.6,65.5
