fastest-growing_large_cities_in_the_United_States,Percent_increase_betwen_2010_and_2019
Frisco_city_(Texas),71.1
Buckeye_city_(Arizona),56.6
New_Braunfels_city_(Texas),56.4
McKinney_city_(Texas),51.9
South_Jordan_city_(Utah),51.8
Meridian_city_(Idaho),48.3
Cedar_Park_city_(Texas),44.2
Fort_Myers_city_(Florida),39.8
Conroe_city_(Texas),39.3
Irvine_city_(California),35.5
Murfreesboro_city_(Tennessee),34.6
Mount_Pleasant_town_(South_Carolina),34.1
Round_Rock_city_(Texas),33.36
Goodyear_city_(Arizona_),33.1
Franklin_city_(Tennessee),32.8
