Response,Very_important,Somewhat_important,Not_too_important,Not_important_at_all,Don't_know/_No_opinion
The_ability_to_watch_TV_shows_or_movies_on_my_TV,49,24,8,7,12
Knowing_what_kind_of_TV_shows_and_movies_I_will_get_from_the_service,47,27,7,7,12
The_ability_to_binge_watch_TV_shows_or_movies,35,29,12,12,12
New_TV_shows_or_movies_added_on_a_monthly_basis,31,34,12,10,13
The_ability_to_watch_TV_shows_or_movies_on_my_phone_or_tablet,26,23,17,22,12
New_TV_shows_or_movies_added_on_a_weekly_basis,25,35,16,10,14
The_ability_to_watch_TV_shows_or_movies_on_the_go,23,25,18,22,12
New_TV_shows_or_movies_added_on_a_daily_basis,21,29,22,14,14
TV_shows_or_movies_featuring_my_favorite_celebrities,20,33,19,15,13
A_variety_of_scripted_and_unscripted_TV_shows,19,30,19,16,16
Longer_programs_(45_minutes_or_longer),19,32,22,12,15
The_option_to_bundle_different_streaming_services_under_one_account,19,31,18,15,12
The_ability_to_share_what_I’m_watching_with_my_friends_and_family,17,23,22,25,14
Daily_programming_that_offers_quick_summaries_of_the_day’s_top_news_stories,13,29,22,22,14
Shorter_programs_(under_15_minutes),7,14,30,33,16
