Formula_1_drivers,Number_of_championship_points
Hamilton__Lewis,3778.0
Vettel__Sebastian,3018.0
Alonso__Fernando,1899.0
Raikkonen__Kimi,1863.0
Rosberg__Nico,1594.5
Schumacher__Michael,1566.0
Bottas__Valtteri,1512.0
Button__Jenson,1235.0
Massa__Felipe,1167.0
Verstappen__Max,1162.0
Ricciardo__Daniel,1159.0
Webber__Mark,1047.5
Cheers__Alain,798.5
Perez__Sergio,706.0
Barrichello__Rubens,658.0
Senna__Ayrton,614.0
Coulthard__David,535.0
Hulkenberg__Nico,521.0
Piquet__Nelson,485.5
Mansell__Nigel,482.0
