Year,United_States_of_America,Confederate_States_of_America
2020,50,0
2019,50,0
2018,50,0
2017,50,0
2016,50,0
2015,50,0
2014,50,0
2013,50,0
2012,50,0
2010,50,0
2009,50,0
2008,50,0
2007,50,0
2006,50,0
2005,50,0
2004,50,0
2003,50,0
2002,50,0
2001,50,0
2000,50,0
1999,50,0
1998,50,0
1997,50,0
1996,50,0
1995,50,0
1994,50,0
1993,50,0
1992,50,0
1991,50,0
1990,50,0
1989,50,0
1988,50,0
1987,50,0
1986,50,0
1985,50,0
1984,50,0
1983,50,0
1982,50,0
1981,50,0
1980,50,0
1979,50,0
1978,50,0
1977,50,0
1976,50,0
1975,50,0
1974,50,0
1973,50,0
1972,50,0
1971,50,0
1970,50,0
1969,50,0
1968,50,0
1967,50,0
1966,50,0
1965,50,0
1964,50,0
1963,50,0
1962,50,0
1961,50,0
1960,50,0
1959,50,0
1958,48,0
1957,48,0
1956,48,0
1955,48,0
1954,48,0
1953,48,0
1952,48,0
1951,48,0
1950,48,0
1949,48,0
1948,48,0
1947,48,0
1946,48,0
1945,48,0
1944,48,0
1943,48,0
1942,48,0
1941,48,0
1940,48,0
1939,48,0
1938,48,0
1937,48,0
1936,48,0
1935,48,0
1934,48,0
1933,48,0
1932,48,0
1931,48,0
1930,48,0
1929,48,0
1928,48,0
1927,48,0
1926,48,0
1925,48,0
1924,48,0
1923,48,0
1922,48,0
1921,48,0
1920,48,0
1919,48,0
1918,48,0
1917,48,0
1916,48,0
1915,48,0
1914,48,0
1913,48,0
1912,48,0
1911,46,0
1910,46,0
1909,46,0
1908,46,0
1907,46,0
1906,45,0
1905,45,0
1904,45,0
1903,45,0
1902,45,0
1901,45,0
1900,45,0
1899,45,0
1898,45,0
1897,45,0
1896,45,0
1895,44,0
1894,44,0
1893,44,0
1892,44,0
1891,44,0
1890,44,0
1889,42,0
1888,38,0
1887,38,0
1886,38,0
1885,38,0
1884,38,0
1883,38,0
1882,38,0
1881,38,0
1880,38,0
1879,38,0
1878,38,0
1877,38,0
1876,38,0
1875,37,0
1874,37,0
1873,37,0
1872,37,0
1871,37,0
1870,37,0
1869,33,0
1868,33,0
1867,27,0
1866,26,0
1865,25,0
1864,25,11
1863,24,11
1862,23,11
1861,23,11
1860,32,1
1859,33,0
1858,32,0
1857,31,0
1856,31,0
1855,31,0
1854,31,0
1853,31,0
1852,31,0
1851,31,0
1850,31,0
1849,30,0
1848,30,0
1847,29,0
1846,29,0
1845,28,0
1844,26,0
1843,26,0
1842,26,0
1841,26,0
1840,26,0
1839,26,0
1838,26,0
1837,26,0
1836,25,0
1835,24,0
1834,24,0
1833,24,0
1832,24,0
1831,24,0
1830,24,0
1829,24,0
1828,24,0
1827,24,0
1826,24,0
1825,24,0
1824,24,0
1823,24,0
1822,24,0
1821,24,0
1820,23,0
1819,22,0
1818,21,0
1817,20,0
1816,19,0
1815,18,0
1814,18,0
1813,18,0
1812,18,0
1811,17,0
1810,17,0
1809,17,0
1808,17,0
1807,17,0
1806,17,0
1805,17,0
1804,17,0
1803,17,0
1802,16,0
1801,16,0
1800,16,0
1799,16,0
1798,16,0
1797,16,0
1796,16,0
1795,15,0
1794,15,0
1793,15,0
1792,15,0
1791,14,0
1790,13,0
1789,12,0
1788,11,0
1787,3,0
1786,0,0
1785,0,0
1784,0,0
1783,0,0
1782,0,0
1781,0,0
1780,0,0
1779,0,0
1778,0,0
1777,0,0
1776,0,0
