industry,Small_business_GDP,Large_business_GDP
Mining_&_Manufacturing,534845,1371949
Whosesale_&_Retail_Trade,703034,917752
Finance_and_Insurance,513139,1007540
Professional_and_Technical_Services,644253,472905
Health_Services,551558,529801
Real_Estate_and_Leasing,651873,212209
Information,74738,564026
Construction,424850,84241
Administration_and_Waste_Management_Services,186604,233637
Accommodation_and_Food_Service,216980,194591
Transportation_and_Warehousing,140836,262234
Other_services_(excluding_government),290734,53973
Utilities,29000,247113
Holding_Companies,85675,171147
Education_Services,67266,101959
Arts_and_Entertainment,93034,42234
