Year,Canada_Pension_Plan_(CPP)_and_Quebec_Pension_Plan_(QPP),Local_government,Federal_government,Provincial_and_territorial_government
2013_Q1,18585,40518,65690,97287
2013_Q2,18575,39766,64182,95325
2013_Q3,13455,38472,65525,99553
2013_Q4,11180,40087,66270,101650
2014_Q1,19392,41935,73421,102538
2014_Q2,18703,41668,67052,101119
2014_Q3,14410,38433,67601,103062
2014_Q4,11894,40445,67155,106516
2015_Q1,21181,43516,73710,103476
2015_Q2,19608,42018,72196,103005
2015_Q3,14999,40721,69939,104997
2015_Q4,12899,42694,71676,109251
2016_Q1,21448,43365,77688,107846
2016_Q2,20510,44768,72730,106265
2016_Q3,15393,42743,70341,108907
2016_Q4,12292,44607,72427,112637
2017_Q1,23042,45753,79681,114195
2017_Q2,21268,46857,80819,112700
2017_Q3,16269,44355,76363,114398
2017_Q4,13617,45515,77681,117977
2018_Q1,22710,51816,86807,119488
2018_Q2,22191,47826,81512,115877
2018_Q3,17116,45781,81623,118572
2018_Q4,14472,47964,82604,122907
2019_Q1,24241,52572,90309,127432
2019_Q2,24265,49129,85907,122231
2019_Q3,18696,47574,83291,123069
2019_Q4,15641,50057,84926,128461
2020_Q1,26176,52646,89733,125741
2020_Q2,23209,51836,74867,116494
