State,Exports_in_million_U.S._dollars
Texas,42638
Louisiana,9843
New_Jersey,7370
California,7072
Ohio,6195
Florida,5424
Illinois,5373
Pennsylvania,5089
Tennessee,3890
New_York,3887
Michigan,3600
North_Carolina,3550
Georgia,3300
South_Carolina,3010
Alabama,2234
Virginia,2173
Kentucky,2161
Indiana,1957
Missouri,1833
Oregon,1823
West_Virginia,1527
Iowa,1474
Wisconsin,1317
Minnesota,1254
Massachusetts,1245
Wyoming,1091
Utah,1003
Maryland,941
Arizona,938
Mississippi,917
Connecticut,844
Arkansas,744
Washington,743
Oklahoma,708
Kansas,595
Nebraska,566
Delaware,554
Colorado,486
North_Dakota,277
Idaho,264
Rhode_Island,260
Montana,216
Nevada,158
New_Mexico,123
New_Hampshire,95
South_Dakota,76
Vermont,59
Maine,35
District_of_Columbia,8
Hawaii,4
Alaska,3
