Month,Other_businesses,Arcade_operations,Amusement_equipment,Digital_contents
April_1_2019_to_March_31_2020,3.01,12.1,6.53,59.94
April_1_2018_to_March_31_2019,2.58,11.05,3.42,82.98
April_1_2017_to_March_31_2018,2.34,10.23,7.8,74.14
April_1_2016_to_March_31_2017,2.08,9.53,16.86,58.7
April_1_2015_to_March_31_2016,2.04,9.06,13.34,52.58
April_1_2014_to_March_31_2015,2.14,9.24,7.54,45.35
April_1_2013_to_March_31_2014,2.59,10.62,23.16,65.82
April_1_2012_to_March_31_2013,2.71,10.94,16.78,63.64
April_1_2011_to_March_31_2012,2.86,11.73,7.66,59.81
April_1_2010_to_March_31_2011,3.89,11.62,7.9,74.3
April_1_2009_to_March_31_2010,3.05,11.99,4.55,47.25
April_1_2008_to_March_31_2009,2.82,13.51,8.93,66.62
April_1_2007_to_March_31_2008,2.95,13.41,10.93,55.85
