Month,Finished_pharmaceutical_products,Nutritional_supplements,Pharmaceutical_cosmetics,Other_parapharmaceuticals
Sep_28-Oct_4,3.2,5.3,-10.6,-0.3
Sep_21-27,-2.3,5.9,-12.1,2.2
Sep_14-20,5.3,7.9,-11.1,0.6
Sep_7-13,17.2,6.7,-15.6,0.7
Aug_31-Sep_6,20.5,10.7,-10.4,2
Aug_24-30,21,19.3,-7.5,5
Aug_17-23,15.6,9.9,-10.7,3.6
Aug_10-16,18,17.8,-8.1,11.5
Aug_3-9,3.5,10.5,-12.4,2.2
Jul_27-Aug_2,10.2,12.1,-15.5,2.2
Jul_20-26,9.4,13.3,-18,5.9
Jul_13-19,4.7,8.7,-15.8,1.6
Jul_6-12,-6.2,3.6,-13.4,-3.5
Jun_29-Jul_5,-6.6,5,-7.7,-1.8
Jun_22-28,-5.8,11.9,-6.3,-2.1
Jun_15-21,-4.5,14.4,-11.4,1.7
Jun_8-14,-5.1,-7.3,8,3
Jun_1-7,-16.4,6.6,-22.1,-13.3
May_25-31,-4.3,-5.1,0.2,-0.3
May_18-24,-6.9,10.8,-14.2,-8.5
May_11-17,-4.6,4.3,-13.8,0.9
May_4-10,-5.4,8.1,-8.2,3.2
Apr_27-May_3,2.2,16,4.5,0
Apr_20-26,8,16.9,1.2,-3.4
Apr_13-19,14.6,18.3,20.1,5.5
Apr_6-12,17.5,24.4,25.1,14.5
Mar_30-Apr_5,37.5,50.6,31.8,22.8
Mar_23-29,72,65.7,38.4,44.7
Mar_16-22,95.4,78.9,32.3,72.3
Mar_9-15,37,27.6,16.9,31.8
Mar_2-8,21.4,18,1.8,19
Feb_24-Mar_1,17,14.4,2.4,6.7
Feb_17-23,11.5,21.2,3.6,11.7
Feb_10-16,11.2,11.3,3.5,11.7
Feb_3-9,3.9,9.5,6.7,9.7
Jan_27-Feb_2,4,9.8,7.7,11.4
Jan_20-26,6.1,9.7,3.8,10.6
Jan_13-19,2.1,4.9,-4.2,5.9
Jan_6-12,-6.6,-1,-13.7,-6.5
Dec_30-Jan_5,-8.2,6.6,-4.1,-1.6
