Year,Men,Women
Rio_2016,47.73,53.13
London_2012,47.63,52.7
Beijing_2008,47.25,52.64
Athens_2004,47.63,52.82
Sydney_2000,47.5,53.02
Atlanta_1996,47.54,52.82
Barcelona_1992,46.78,53.23
Seoul_1988,47.19,53.17
Los_Angeles_1984,47.75,54.61
Moscow_1980,48.7,0
Montreal_1976,47.64,0
Munich_1972,47.82,0
Mexico_City_1968,48.1,0
Tokyo_1964,49.6,0
Rome_1960,49.3,0
Melbourne_1956,50.1,0
Helsinki_1952,50.8,0
London_1948,51.1,0
Berlin_1936,52.4,0
Los_Angeles_1932,51.8,0
Amsterdam_1928,53.4,0
Paris_1924,52.6,0
Antwerp_1920,54,0
Stockholm_1912,0,0
London_1908,55,0
St._Louis_1904,53,0
Paris_1900,57.6,0
