Industry,Total_positive,Neutral,Total_negative
Computer_industry,73,14,10
Restaurant_industry,59,29,10
Internet_industry,55,21,20
Retail_industry,53,29,16
Farming_and_agriculture,52,25,20
Grocery_industry,51,27,20
Education,45,22,32
Sports_industry,43,25,30
Automobile_industry,43,28,28
Publishing_industry,42,33,21
Telephone_industry,42,29,28
Healthcare_industry,42,15,42
Travel_industry,40,34,21
Accounting,39,38,19
Movie_industry,38,25,35
Pharmaceutical_industry,37,24,38
Television_and_radio_industry,37,25,36
The_legal_field,34,25,37
Electric_and_gas_utilities,34,26,38
Airline_industry,31,32,35
Advertising_ad_public_relations_industry,31,33,35
Real_estate_industry,27,30,41
Banking,25,21,53
The_federal_government,23,14,60
Oil_and_gas_industry,22,15,61
